entity_id,model_id,feature_set,fold,race,sex,age_cat,label_value,score
540,LR_8_features,8,1,Caucasian,Female,Greater than 45,0,0
588,LR_8_features,8,1,African-American,Male,25 - 45,0,1
594,LR_8_features,8,1,Caucasian,Female,Greater than 45,0,0
604,LR_8_features,8,1,African-American,Male,Less than 25,1,0
611,LR_8_features,8,1,African-American,Male,Greater than 45,0,0
612,LR_8_features,8,1,African-American,Male,25 - 45,1,1
613,LR_8_features,8,1,Caucasian,Male,Greater than 45,1,0
627,LR_8_features,8,1,African-American,Male,Greater than 45,0,1
630,LR_8_features,8,1,Caucasian,Male,Less than 25,0,0
638,LR_8_features,8,1,African-American,Male,25 - 45,1,1
647,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
659,LR_8_features,8,1,Caucasian,Male,Less than 25,1,1
662,LR_8_features,8,1,Caucasian,Female,Less than 25,0,0
675,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
679,LR_8_features,8,1,African-American,Male,25 - 45,0,0
680,LR_8_features,8,1,African-American,Male,25 - 45,0,1
692,LR_8_features,8,1,African-American,Male,25 - 45,1,1
708,LR_8_features,8,1,African-American,Male,Greater than 45,1,1
720,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
721,LR_8_features,8,1,Hispanic,Male,Less than 25,0,0
726,LR_8_features,8,1,Caucasian,Male,25 - 45,1,1
765,LR_8_features,8,1,African-American,Male,Greater than 45,1,1
794,LR_8_features,8,1,African-American,Male,25 - 45,1,1
812,LR_8_features,8,1,African-American,Male,25 - 45,0,0
851,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
869,LR_8_features,8,1,Caucasian,Male,25 - 45,0,1
870,LR_8_features,8,1,African-American,Female,25 - 45,1,1
880,LR_8_features,8,1,Hispanic,Male,Greater than 45,0,0
893,LR_8_features,8,1,Hispanic,Male,25 - 45,0,0
901,LR_8_features,8,1,African-American,Male,25 - 45,0,0
927,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
944,LR_8_features,8,1,African-American,Male,25 - 45,0,1
955,LR_8_features,8,1,African-American,Male,Greater than 45,1,1
975,LR_8_features,8,1,African-American,Male,Less than 25,0,1
978,LR_8_features,8,1,African-American,Male,25 - 45,0,0
988,LR_8_features,8,1,African-American,Female,25 - 45,0,1
1009,LR_8_features,8,1,Hispanic,Male,Greater than 45,0,0
1023,LR_8_features,8,1,Caucasian,Female,Greater than 45,0,0
1027,LR_8_features,8,1,African-American,Male,Less than 25,0,1
1031,LR_8_features,8,1,Caucasian,Female,25 - 45,1,1
1061,LR_8_features,8,1,African-American,Male,Greater than 45,0,0
1068,LR_8_features,8,1,Caucasian,Female,Greater than 45,1,0
1092,LR_8_features,8,1,Hispanic,Male,Less than 25,0,0
1109,LR_8_features,8,1,African-American,Male,Greater than 45,1,0
1123,LR_8_features,8,1,African-American,Male,Greater than 45,0,1
1129,LR_8_features,8,1,Other,Male,25 - 45,0,0
1146,LR_8_features,8,1,African-American,Male,25 - 45,1,1
1172,LR_8_features,8,1,African-American,Male,25 - 45,0,0
1179,LR_8_features,8,1,African-American,Male,25 - 45,0,1
1186,LR_8_features,8,1,Caucasian,Male,Less than 25,1,0
1187,LR_8_features,8,1,Caucasian,Male,Less than 25,1,1
1198,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
1200,LR_8_features,8,1,African-American,Male,Less than 25,1,0
1204,LR_8_features,8,1,Other,Female,Less than 25,0,0
1242,LR_8_features,8,1,Other,Female,25 - 45,1,0
1252,LR_8_features,8,1,Other,Male,25 - 45,0,0
1256,LR_8_features,8,1,African-American,Male,Greater than 45,1,1
1258,LR_8_features,8,1,African-American,Male,Greater than 45,1,1
1296,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
1305,LR_8_features,8,1,African-American,Male,25 - 45,0,1
1313,LR_8_features,8,1,African-American,Male,25 - 45,1,0
1325,LR_8_features,8,1,African-American,Female,Greater than 45,0,0
1330,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
1332,LR_8_features,8,1,Other,Male,25 - 45,1,0
1348,LR_8_features,8,1,African-American,Female,25 - 45,0,0
1349,LR_8_features,8,1,Hispanic,Male,25 - 45,0,0
1370,LR_8_features,8,1,Caucasian,Female,Greater than 45,0,0
1379,LR_8_features,8,1,African-American,Male,Less than 25,1,1
1388,LR_8_features,8,1,Caucasian,Female,Greater than 45,1,0
1395,LR_8_features,8,1,African-American,Male,Less than 25,1,1
1422,LR_8_features,8,1,Hispanic,Female,25 - 45,1,0
1435,LR_8_features,8,1,African-American,Male,25 - 45,1,1
1447,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
1490,LR_8_features,8,1,African-American,Male,25 - 45,1,1
1501,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
1511,LR_8_features,8,1,African-American,Male,25 - 45,0,0
1515,LR_8_features,8,1,African-American,Male,Greater than 45,0,1
1534,LR_8_features,8,1,African-American,Male,25 - 45,0,1
1548,LR_8_features,8,1,African-American,Male,25 - 45,1,1
1568,LR_8_features,8,1,Other,Male,25 - 45,1,0
1569,LR_8_features,8,1,African-American,Female,25 - 45,1,1
1577,LR_8_features,8,1,African-American,Male,Greater than 45,0,0
1590,LR_8_features,8,1,African-American,Male,25 - 45,1,0
1599,LR_8_features,8,1,Caucasian,Female,25 - 45,0,0
1626,LR_8_features,8,1,African-American,Male,25 - 45,1,0
1667,LR_8_features,8,1,Caucasian,Male,Less than 25,1,0
1672,LR_8_features,8,1,African-American,Female,Less than 25,0,0
1709,LR_8_features,8,1,African-American,Male,25 - 45,1,1
1736,LR_8_features,8,1,African-American,Female,Less than 25,0,0
1760,LR_8_features,8,1,Caucasian,Male,25 - 45,1,1
1764,LR_8_features,8,1,Caucasian,Female,25 - 45,0,0
1786,LR_8_features,8,1,African-American,Male,25 - 45,0,1
1817,LR_8_features,8,1,African-American,Female,25 - 45,1,1
1841,LR_8_features,8,1,Caucasian,Female,25 - 45,0,0
1860,LR_8_features,8,1,Caucasian,Male,Less than 25,1,1
1862,LR_8_features,8,1,African-American,Male,25 - 45,1,0
1863,LR_8_features,8,1,African-American,Male,25 - 45,1,0
1865,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
1869,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
1897,LR_8_features,8,1,Caucasian,Male,Less than 25,1,1
1909,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
1919,LR_8_features,8,1,Caucasian,Female,25 - 45,1,0
1924,LR_8_features,8,1,African-American,Male,Less than 25,1,1
1927,LR_8_features,8,1,African-American,Male,25 - 45,1,1
1941,LR_8_features,8,1,African-American,Male,25 - 45,0,0
1972,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
2048,LR_8_features,8,1,African-American,Male,Less than 25,1,1
2052,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
2053,LR_8_features,8,1,African-American,Male,Less than 25,0,0
2103,LR_8_features,8,1,African-American,Male,25 - 45,1,1
2110,LR_8_features,8,1,African-American,Male,Less than 25,0,1
2128,LR_8_features,8,1,African-American,Male,25 - 45,1,1
2148,LR_8_features,8,1,African-American,Female,25 - 45,1,1
2153,LR_8_features,8,1,African-American,Male,Less than 25,1,1
2176,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
2179,LR_8_features,8,1,African-American,Male,Greater than 45,0,0
2198,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
2201,LR_8_features,8,1,Caucasian,Female,Greater than 45,0,0
2207,LR_8_features,8,1,African-American,Male,Greater than 45,1,1
2208,LR_8_features,8,1,African-American,Male,25 - 45,1,0
2231,LR_8_features,8,1,African-American,Male,Less than 25,1,1
2236,LR_8_features,8,1,African-American,Male,25 - 45,1,0
2245,LR_8_features,8,1,Caucasian,Female,Greater than 45,0,0
2261,LR_8_features,8,1,African-American,Female,Greater than 45,0,0
2322,LR_8_features,8,1,African-American,Male,25 - 45,0,1
2352,LR_8_features,8,1,African-American,Male,Greater than 45,0,0
2365,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
2370,LR_8_features,8,1,African-American,Female,25 - 45,0,0
2387,LR_8_features,8,1,Caucasian,Male,Less than 25,1,0
2388,LR_8_features,8,1,Other,Male,25 - 45,0,0
2441,LR_8_features,8,1,Other,Male,25 - 45,0,0
2459,LR_8_features,8,1,African-American,Male,25 - 45,0,0
2465,LR_8_features,8,1,African-American,Male,25 - 45,0,0
2498,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
2499,LR_8_features,8,1,Caucasian,Male,Greater than 45,1,0
2501,LR_8_features,8,1,African-American,Male,Less than 25,0,1
2516,LR_8_features,8,1,African-American,Male,Less than 25,0,1
2561,LR_8_features,8,1,Caucasian,Female,25 - 45,1,0
2606,LR_8_features,8,1,African-American,Male,25 - 45,0,1
2649,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
2671,LR_8_features,8,1,African-American,Male,25 - 45,1,1
2708,LR_8_features,8,1,African-American,Male,25 - 45,0,1
2724,LR_8_features,8,1,Caucasian,Male,Greater than 45,1,0
2754,LR_8_features,8,1,Caucasian,Female,25 - 45,0,0
2802,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
2821,LR_8_features,8,1,Caucasian,Female,25 - 45,0,0
2841,LR_8_features,8,1,Caucasian,Male,Less than 25,0,1
2862,LR_8_features,8,1,African-American,Male,25 - 45,1,1
2863,LR_8_features,8,1,Other,Male,Less than 25,1,1
2870,LR_8_features,8,1,African-American,Male,Less than 25,1,1
2900,LR_8_features,8,1,African-American,Male,Less than 25,0,1
2931,LR_8_features,8,1,African-American,Male,25 - 45,0,0
2943,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
2951,LR_8_features,8,1,African-American,Male,25 - 45,0,0
2956,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,1
2988,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
3015,LR_8_features,8,1,Caucasian,Male,Greater than 45,1,0
3019,LR_8_features,8,1,Caucasian,Male,Greater than 45,1,0
3032,LR_8_features,8,1,African-American,Male,25 - 45,0,1
3107,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
3110,LR_8_features,8,1,Caucasian,Male,Less than 25,1,0
3112,LR_8_features,8,1,African-American,Male,25 - 45,0,0
3114,LR_8_features,8,1,Asian,Male,25 - 45,1,0
3160,LR_8_features,8,1,African-American,Male,Less than 25,1,1
3170,LR_8_features,8,1,African-American,Female,25 - 45,1,0
3181,LR_8_features,8,1,Caucasian,Male,Less than 25,1,0
3183,LR_8_features,8,1,African-American,Male,25 - 45,1,0
3215,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
3229,LR_8_features,8,1,Caucasian,Male,25 - 45,0,1
3285,LR_8_features,8,1,African-American,Male,Greater than 45,1,0
3291,LR_8_features,8,1,African-American,Male,25 - 45,1,1
3362,LR_8_features,8,1,African-American,Male,Less than 25,1,1
3376,LR_8_features,8,1,Other,Female,25 - 45,0,0
3383,LR_8_features,8,1,African-American,Male,Greater than 45,1,1
3395,LR_8_features,8,1,Other,Male,25 - 45,1,0
3396,LR_8_features,8,1,African-American,Male,Greater than 45,0,0
3404,LR_8_features,8,1,African-American,Male,Greater than 45,0,0
3408,LR_8_features,8,1,Caucasian,Female,Less than 25,1,0
3452,LR_8_features,8,1,African-American,Male,25 - 45,0,0
3458,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
3470,LR_8_features,8,1,African-American,Male,Less than 25,1,1
3480,LR_8_features,8,1,African-American,Male,Greater than 45,0,0
3481,LR_8_features,8,1,African-American,Female,25 - 45,1,0
3499,LR_8_features,8,1,African-American,Female,25 - 45,1,1
3597,LR_8_features,8,1,Caucasian,Male,Less than 25,1,1
3655,LR_8_features,8,1,African-American,Male,Greater than 45,0,0
3697,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
3757,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
3782,LR_8_features,8,1,African-American,Male,25 - 45,1,1
3809,LR_8_features,8,1,Caucasian,Male,25 - 45,1,1
3830,LR_8_features,8,1,African-American,Female,25 - 45,0,0
3839,LR_8_features,8,1,African-American,Male,Greater than 45,1,0
3843,LR_8_features,8,1,Hispanic,Female,Greater than 45,1,0
3897,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
3907,LR_8_features,8,1,Hispanic,Male,Greater than 45,0,0
3918,LR_8_features,8,1,African-American,Male,25 - 45,1,1
3939,LR_8_features,8,1,African-American,Male,25 - 45,1,1
3994,LR_8_features,8,1,Hispanic,Male,25 - 45,0,0
3995,LR_8_features,8,1,African-American,Male,Less than 25,1,1
4020,LR_8_features,8,1,Other,Male,25 - 45,1,0
4049,LR_8_features,8,1,Caucasian,Male,Less than 25,1,1
4062,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
4084,LR_8_features,8,1,African-American,Male,25 - 45,0,1
4125,LR_8_features,8,1,African-American,Female,25 - 45,0,0
4137,LR_8_features,8,1,Caucasian,Male,Less than 25,1,1
4159,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
4195,LR_8_features,8,1,African-American,Female,25 - 45,1,0
4196,LR_8_features,8,1,African-American,Female,25 - 45,0,0
4226,LR_8_features,8,1,Caucasian,Male,25 - 45,1,1
4319,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
4323,LR_8_features,8,1,African-American,Male,Less than 25,1,0
4337,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
4360,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
4377,LR_8_features,8,1,African-American,Male,Less than 25,1,1
4378,LR_8_features,8,1,Caucasian,Male,25 - 45,1,1
4391,LR_8_features,8,1,African-American,Male,25 - 45,0,1
4400,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
4421,LR_8_features,8,1,African-American,Female,Greater than 45,1,0
4434,LR_8_features,8,1,Caucasian,Male,25 - 45,1,1
4437,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
4464,LR_8_features,8,1,African-American,Male,25 - 45,0,0
4471,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
4483,LR_8_features,8,1,African-American,Male,25 - 45,1,1
4491,LR_8_features,8,1,African-American,Male,25 - 45,1,1
4508,LR_8_features,8,1,African-American,Female,25 - 45,0,1
4510,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
4568,LR_8_features,8,1,Caucasian,Male,Less than 25,1,0
4579,LR_8_features,8,1,African-American,Male,Greater than 45,1,0
4582,LR_8_features,8,1,African-American,Female,Greater than 45,0,0
4598,LR_8_features,8,1,African-American,Male,25 - 45,0,1
4609,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
4617,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
4628,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
4658,LR_8_features,8,1,African-American,Male,25 - 45,0,1
4696,LR_8_features,8,1,Hispanic,Male,Greater than 45,0,0
4715,LR_8_features,8,1,African-American,Male,25 - 45,1,1
4730,LR_8_features,8,1,Caucasian,Male,Less than 25,1,1
4735,LR_8_features,8,1,African-American,Male,Less than 25,0,0
4775,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
4776,LR_8_features,8,1,African-American,Male,25 - 45,1,0
4780,LR_8_features,8,1,Caucasian,Male,Less than 25,0,1
4815,LR_8_features,8,1,African-American,Female,25 - 45,0,0
4828,LR_8_features,8,1,Caucasian,Male,25 - 45,0,1
4872,LR_8_features,8,1,African-American,Female,25 - 45,0,0
4893,LR_8_features,8,1,African-American,Male,25 - 45,0,0
4894,LR_8_features,8,1,Other,Female,25 - 45,0,0
4897,LR_8_features,8,1,Caucasian,Male,25 - 45,1,1
4904,LR_8_features,8,1,Other,Male,Greater than 45,0,0
4932,LR_8_features,8,1,African-American,Male,Greater than 45,1,0
4934,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
4949,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
4990,LR_8_features,8,1,Caucasian,Male,Less than 25,1,1
5052,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
5071,LR_8_features,8,1,African-American,Male,25 - 45,0,1
5086,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
5103,LR_8_features,8,1,Hispanic,Male,25 - 45,0,1
5120,LR_8_features,8,1,African-American,Female,Greater than 45,0,0
5121,LR_8_features,8,1,African-American,Male,25 - 45,0,0
5143,LR_8_features,8,1,Caucasian,Female,Less than 25,0,0
5153,LR_8_features,8,1,African-American,Male,25 - 45,1,1
5155,LR_8_features,8,1,African-American,Male,25 - 45,1,1
5194,LR_8_features,8,1,African-American,Male,Greater than 45,0,0
5207,LR_8_features,8,1,Caucasian,Female,25 - 45,1,0
5231,LR_8_features,8,1,Hispanic,Male,25 - 45,1,0
5266,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
5270,LR_8_features,8,1,African-American,Male,25 - 45,0,0
5271,LR_8_features,8,1,Caucasian,Female,25 - 45,1,0
5282,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
5335,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
5379,LR_8_features,8,1,African-American,Male,25 - 45,0,1
5383,LR_8_features,8,1,African-American,Female,Less than 25,1,0
5387,LR_8_features,8,1,African-American,Male,25 - 45,1,0
5390,LR_8_features,8,1,African-American,Male,Less than 25,1,1
5405,LR_8_features,8,1,African-American,Male,25 - 45,0,0
5430,LR_8_features,8,1,African-American,Male,Less than 25,1,1
5447,LR_8_features,8,1,African-American,Male,25 - 45,1,1
5453,LR_8_features,8,1,African-American,Female,Less than 25,1,1
5473,LR_8_features,8,1,African-American,Male,Less than 25,0,1
5476,LR_8_features,8,1,Other,Male,Less than 25,1,0
5477,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
5482,LR_8_features,8,1,Other,Male,25 - 45,1,1
5501,LR_8_features,8,1,African-American,Male,25 - 45,1,1
5517,LR_8_features,8,1,Other,Male,25 - 45,0,0
5539,LR_8_features,8,1,African-American,Male,25 - 45,1,1
5550,LR_8_features,8,1,African-American,Male,Less than 25,1,1
5567,LR_8_features,8,1,African-American,Female,25 - 45,0,0
5634,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
5635,LR_8_features,8,1,Caucasian,Female,Greater than 45,0,0
5652,LR_8_features,8,1,African-American,Female,25 - 45,1,0
5665,LR_8_features,8,1,Caucasian,Female,Greater than 45,0,0
5686,LR_8_features,8,1,Caucasian,Female,Greater than 45,0,0
5687,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
5717,LR_8_features,8,1,African-American,Male,25 - 45,1,0
5773,LR_8_features,8,1,African-American,Male,25 - 45,0,0
5820,LR_8_features,8,1,Caucasian,Male,Less than 25,1,1
5827,LR_8_features,8,1,African-American,Male,Less than 25,1,1
5852,LR_8_features,8,1,African-American,Female,Greater than 45,0,0
5854,LR_8_features,8,1,African-American,Male,25 - 45,0,0
5923,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
5994,LR_8_features,8,1,African-American,Female,Less than 25,1,0
6019,LR_8_features,8,1,Caucasian,Male,25 - 45,1,1
6030,LR_8_features,8,1,African-American,Male,Greater than 45,0,1
6051,LR_8_features,8,1,African-American,Male,Less than 25,0,0
6065,LR_8_features,8,1,African-American,Male,Greater than 45,0,1
6067,LR_8_features,8,1,African-American,Male,25 - 45,1,1
6094,LR_8_features,8,1,Caucasian,Male,25 - 45,1,1
6108,LR_8_features,8,1,African-American,Male,25 - 45,1,0
6114,LR_8_features,8,1,Caucasian,Female,25 - 45,0,0
6116,LR_8_features,8,1,African-American,Male,25 - 45,1,1
6137,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
6150,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
6166,LR_8_features,8,1,Caucasian,Male,Less than 25,1,0
6179,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
6182,LR_8_features,8,1,African-American,Male,25 - 45,0,0
6193,LR_8_features,8,1,African-American,Male,25 - 45,0,0
6202,LR_8_features,8,1,Hispanic,Male,25 - 45,1,0
6203,LR_8_features,8,1,African-American,Male,25 - 45,0,0
6260,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
6319,LR_8_features,8,1,African-American,Male,Less than 25,1,1
6339,LR_8_features,8,1,African-American,Male,Greater than 45,1,1
6347,LR_8_features,8,1,African-American,Male,Less than 25,1,1
6361,LR_8_features,8,1,African-American,Male,Less than 25,0,1
6365,LR_8_features,8,1,African-American,Male,Greater than 45,1,1
6376,LR_8_features,8,1,African-American,Male,Greater than 45,0,0
6379,LR_8_features,8,1,Caucasian,Male,Less than 25,0,1
6396,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
6400,LR_8_features,8,1,African-American,Male,25 - 45,1,0
6409,LR_8_features,8,1,African-American,Male,25 - 45,1,0
6424,LR_8_features,8,1,Hispanic,Male,Greater than 45,0,0
6441,LR_8_features,8,1,African-American,Male,25 - 45,0,1
6450,LR_8_features,8,1,African-American,Male,25 - 45,0,0
6470,LR_8_features,8,1,African-American,Female,Less than 25,1,0
6497,LR_8_features,8,1,African-American,Male,25 - 45,1,1
6500,LR_8_features,8,1,Caucasian,Female,Less than 25,0,0
6514,LR_8_features,8,1,Caucasian,Male,25 - 45,0,1
6534,LR_8_features,8,1,African-American,Female,25 - 45,0,1
6588,LR_8_features,8,1,African-American,Male,Less than 25,0,1
6600,LR_8_features,8,1,Hispanic,Male,25 - 45,1,0
6606,LR_8_features,8,1,African-American,Male,25 - 45,0,0
6667,LR_8_features,8,1,African-American,Female,Less than 25,0,0
6671,LR_8_features,8,1,Caucasian,Female,Less than 25,1,0
6688,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
6690,LR_8_features,8,1,African-American,Male,25 - 45,1,1
6730,LR_8_features,8,1,African-American,Female,25 - 45,0,0
6754,LR_8_features,8,1,Hispanic,Female,Less than 25,0,0
6755,LR_8_features,8,1,African-American,Female,Less than 25,1,0
6763,LR_8_features,8,1,Caucasian,Female,25 - 45,0,0
6769,LR_8_features,8,1,Caucasian,Female,25 - 45,0,0
6820,LR_8_features,8,1,African-American,Male,25 - 45,0,1
6836,LR_8_features,8,1,Caucasian,Male,Less than 25,1,0
6862,LR_8_features,8,1,African-American,Male,25 - 45,0,1
6863,LR_8_features,8,1,African-American,Male,25 - 45,0,0
6878,LR_8_features,8,1,Caucasian,Male,Greater than 45,1,0
6889,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
6906,LR_8_features,8,1,Hispanic,Female,25 - 45,0,0
6947,LR_8_features,8,1,African-American,Female,25 - 45,1,1
6971,LR_8_features,8,1,African-American,Male,25 - 45,1,1
6983,LR_8_features,8,1,African-American,Male,Greater than 45,0,0
7006,LR_8_features,8,1,Caucasian,Female,25 - 45,1,0
7084,LR_8_features,8,1,Caucasian,Female,Less than 25,0,0
7109,LR_8_features,8,1,Caucasian,Male,Greater than 45,0,0
7126,LR_8_features,8,1,Caucasian,Female,Greater than 45,0,0
7127,LR_8_features,8,1,Other,Male,25 - 45,0,0
7131,LR_8_features,8,1,African-American,Male,25 - 45,1,1
7149,LR_8_features,8,1,Caucasian,Male,Less than 25,0,1
7159,LR_8_features,8,1,Hispanic,Male,25 - 45,0,0
7162,LR_8_features,8,1,African-American,Male,Greater than 45,1,0
7186,LR_8_features,8,1,Caucasian,Female,25 - 45,0,0
7211,LR_8_features,8,1,African-American,Male,25 - 45,1,1
7214,LR_8_features,8,1,African-American,Female,25 - 45,1,1
7231,LR_8_features,8,1,African-American,Male,25 - 45,0,0
7252,LR_8_features,8,1,African-American,Female,25 - 45,1,1
7254,LR_8_features,8,1,Caucasian,Male,Less than 25,1,1
7255,LR_8_features,8,1,African-American,Male,25 - 45,1,1
7265,LR_8_features,8,1,African-American,Male,Greater than 45,0,1
7275,LR_8_features,8,1,Caucasian,Female,25 - 45,0,0
7327,LR_8_features,8,1,African-American,Male,25 - 45,0,0
7335,LR_8_features,8,1,African-American,Male,Less than 25,1,1
7341,LR_8_features,8,1,African-American,Male,25 - 45,1,0
7380,LR_8_features,8,1,African-American,Male,25 - 45,1,0
7440,LR_8_features,8,1,African-American,Male,25 - 45,0,1
7487,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
7503,LR_8_features,8,1,African-American,Male,25 - 45,0,1
7508,LR_8_features,8,1,Hispanic,Male,25 - 45,0,0
7522,LR_8_features,8,1,African-American,Male,25 - 45,1,1
7526,LR_8_features,8,1,Caucasian,Male,Less than 25,1,0
7534,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
7560,LR_8_features,8,1,Caucasian,Male,25 - 45,1,1
7591,LR_8_features,8,1,African-American,Male,Less than 25,1,1
7661,LR_8_features,8,1,Caucasian,Female,Greater than 45,1,1
7667,LR_8_features,8,1,Caucasian,Male,25 - 45,0,0
7668,LR_8_features,8,1,Hispanic,Male,Greater than 45,0,0
7700,LR_8_features,8,1,African-American,Male,25 - 45,1,1
7711,LR_8_features,8,1,African-American,Male,Less than 25,0,1
7733,LR_8_features,8,1,African-American,Male,25 - 45,1,0
7734,LR_8_features,8,1,African-American,Male,25 - 45,1,0
7753,LR_8_features,8,1,African-American,Male,Greater than 45,0,0
7762,LR_8_features,8,1,Caucasian,Male,25 - 45,1,0
7792,LR_8_features,8,1,African-American,Female,25 - 45,0,1
7793,LR_8_features,8,1,Hispanic,Male,Less than 25,1,0
