sex,age,juv_fel_count,juv_misd_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid
1,52,0,0,4,0,158,1
1,32,0,0,3,0,41,0
0,39,0,0,0,1,113,0
1,56,0,0,0,1,35,0
0,22,0,0,0,0,236,0
1,53,0,0,11,0,363,0
1,25,0,0,0,1,117,1
1,22,0,0,0,0,174,0
0,58,0,0,2,1,88,0
1,31,0,0,7,1,17,1
1,22,0,0,1,0,136,1
1,28,0,0,8,0,353,1
1,20,0,0,0,0,154,1
1,29,0,0,0,1,35,1
1,58,0,0,21,1,363,1
1,22,0,0,3,0,158,0
1,37,0,0,0,0,74,0
1,57,0,0,1,0,147,1
1,27,0,0,3,1,151,0
1,26,0,0,3,0,56,0
1,24,0,1,3,0,236,1
1,33,0,0,0,0,17,0
1,29,0,0,2,0,363,0
0,24,0,0,3,0,158,1
1,19,0,0,1,0,142,1
1,36,0,0,2,1,35,0
0,24,0,0,0,0,236,0
1,34,0,0,0,1,87,0
1,20,1,0,1,0,363,1
1,24,0,0,1,1,35,1
1,61,0,0,4,0,363,0
0,50,0,0,3,0,10,0
1,30,0,0,1,1,35,0
1,38,0,0,5,0,266,0
1,24,0,0,0,1,35,0
0,46,0,0,2,0,158,1
1,41,0,0,0,1,35,1
1,27,0,0,13,1,239,1
1,26,0,0,1,1,35,1
1,29,0,0,3,0,269,1
1,52,0,0,6,0,158,1
1,28,0,0,1,0,2,1
1,55,0,0,5,0,147,1
1,26,1,1,10,0,14,1
1,28,0,0,5,0,251,0
1,63,0,0,2,0,145,0
1,42,0,0,0,0,13,0
1,23,1,2,6,0,118,0
1,54,0,0,28,0,267,1
1,35,0,0,8,0,143,1
0,24,1,0,6,0,363,1
1,54,0,0,2,1,35,0
1,58,0,0,12,1,87,1
1,23,0,0,1,1,288,1
1,35,0,0,1,1,35,0
1,20,0,0,1,0,153,1
1,51,0,0,0,0,142,0
1,37,0,0,3,0,267,0
1,47,0,0,3,0,115,0
1,34,0,0,4,0,266,1
1,56,0,0,0,0,158,0
1,59,0,0,1,0,51,1
0,24,0,0,6,0,212,1
1,21,0,0,2,1,23,1
1,26,0,0,1,0,63,0
0,30,0,0,0,1,117,0
1,29,0,0,0,1,35,1
1,54,0,0,0,1,35,0
1,29,0,0,4,0,136,1
0,59,0,0,0,1,88,0
1,38,0,0,0,0,320,0
1,27,0,0,1,1,202,1
1,66,0,0,33,0,74,1
1,27,0,0,2,0,267,0
1,51,0,0,1,1,88,0
1,35,0,0,1,0,363,0
1,52,0,0,4,1,35,0
0,26,0,0,0,1,35,0
0,48,0,0,0,1,172,0
1,33,0,0,2,1,35,0
0,34,0,0,6,0,49,0
1,59,0,0,10,0,363,1
1,29,0,0,5,0,212,1
1,24,0,0,0,0,267,0
1,48,0,0,1,0,2,1
1,52,0,0,4,1,125,0
1,20,0,0,0,0,269,1
1,25,0,0,4,0,267,1
1,24,0,0,0,0,2,0
1,23,0,0,0,1,35,0
1,27,0,1,6,0,142,0
1,25,0,1,1,1,35,1
1,31,0,0,0,0,335,0
1,25,0,1,6,0,363,1
1,32,0,0,1,0,363,1
1,21,0,0,0,0,158,1
1,25,0,0,0,0,266,0
1,35,0,0,0,0,158,0
1,42,0,0,14,0,115,1
1,24,0,0,9,1,355,1
1,47,0,0,1,1,35,0
1,27,0,0,5,0,5,1
1,46,0,0,2,0,251,1
1,44,0,0,1,1,284,0
1,23,0,0,2,0,266,0
1,42,0,0,8,0,363,0
1,58,0,0,6,0,147,0
1,26,0,0,3,0,154,0
1,39,0,0,3,0,158,1
1,21,0,2,3,0,363,1
1,63,0,0,1,1,88,0
1,22,0,1,3,0,363,1
1,50,0,0,3,1,35,0
1,38,0,0,0,0,51,0
1,41,0,0,1,0,303,0
1,28,8,0,16,0,17,1
0,30,0,0,0,1,35,0
1,23,0,0,1,0,3,0
1,25,0,0,2,0,363,1
1,40,0,0,5,0,191,0
1,27,0,0,5,1,76,1
1,44,0,0,11,1,35,0
0,35,0,0,6,0,363,1
1,42,0,0,0,1,35,0
1,38,0,0,15,0,115,0
0,25,0,0,0,1,288,0
0,49,0,0,2,1,117,1
1,50,0,0,5,0,118,1
1,66,0,0,0,1,35,1
0,46,0,0,0,1,35,0
1,30,0,0,5,0,118,1
0,22,0,0,0,1,35,0
1,23,0,0,1,1,363,0
1,25,0,0,0,1,112,0
0,21,0,0,0,0,56,0
1,27,0,0,0,1,35,0
0,24,0,0,0,0,56,0
1,20,1,0,1,0,363,0
1,31,0,0,3,1,357,1
1,27,0,0,3,1,35,1
1,40,0,0,0,0,13,0
1,22,0,0,11,0,267,1
0,38,0,0,1,0,292,0
1,30,0,0,1,1,239,0
1,27,0,0,6,0,363,1
0,59,0,0,0,1,117,0
1,37,0,0,2,1,87,0
1,28,0,0,5,1,142,1
1,38,0,0,0,0,267,0
1,22,0,0,0,0,27,1
1,25,0,0,4,0,156,1
1,51,0,0,0,1,87,0
1,29,0,0,2,1,142,1
1,28,0,0,10,0,118,0
1,55,0,0,9,1,363,1
0,23,0,0,3,0,212,0
0,22,0,0,0,1,129,0
0,19,0,0,2,0,267,1
1,31,0,0,1,1,35,0
1,29,0,0,0,1,87,0
1,61,0,0,15,0,147,1
1,20,0,1,4,0,363,1
1,26,0,0,3,0,48,1
1,27,0,0,5,1,35,0
1,25,0,0,1,0,13,0
1,23,0,2,3,0,184,1
1,38,0,0,0,0,142,0
1,27,0,2,18,0,147,1
0,35,0,0,0,0,287,1
0,58,0,0,4,0,208,1
0,57,0,0,0,1,112,1
1,21,0,0,0,0,349,0
0,22,0,0,0,0,158,0
1,30,0,0,0,0,56,0
1,30,0,0,8,0,267,1
0,31,0,0,10,0,118,0
0,45,0,0,1,0,146,0
1,39,0,0,2,0,136,1
1,31,0,0,0,0,267,1
1,22,0,0,1,0,55,1
1,27,0,0,13,0,363,1
1,38,0,0,1,0,74,1
1,31,0,0,23,0,223,1
1,47,0,0,20,0,319,0
1,22,0,1,3,0,363,0
1,35,0,0,1,1,35,1
1,65,0,0,2,1,361,1
1,35,0,0,0,1,127,0
0,33,0,0,0,0,154,0
1,53,0,0,1,1,35,0
1,21,0,0,0,0,193,0
1,37,0,0,11,0,17,0
0,31,0,0,0,1,35,0
0,59,0,0,2,0,158,0
1,27,0,0,0,1,267,0
1,36,0,0,0,1,35,1
1,46,0,0,17,0,363,1
1,22,0,0,3,0,363,0
0,28,0,0,0,1,88,0
0,34,0,0,15,0,158,1
1,23,0,0,2,1,35,1
1,27,0,0,3,0,158,0
1,48,0,0,3,0,158,1
1,31,0,0,5,0,363,0
1,36,0,1,4,1,35,0
1,44,0,0,14,0,146,1
1,53,0,0,2,0,102,0
1,33,0,0,3,1,116,1
1,47,0,0,2,0,267,1
1,57,0,0,20,0,267,1
1,28,0,0,2,1,363,0
1,24,0,0,1,1,35,0
1,44,0,0,1,0,339,0
1,46,0,0,0,0,158,0
1,37,0,0,6,0,64,0
1,26,0,0,10,1,363,1
1,27,0,1,10,0,118,1
1,40,0,0,1,0,185,0
0,60,0,0,9,0,363,1
1,53,0,0,1,0,363,0
1,28,0,0,0,0,146,0
0,46,0,0,2,0,158,0
1,23,0,0,0,0,136,1
1,50,0,0,18,0,118,1
1,45,0,0,0,1,117,0
1,22,0,0,1,0,363,0
1,26,0,0,1,0,363,1
1,62,0,0,0,0,42,0
1,34,0,0,0,1,88,1
1,21,0,0,0,1,35,0
1,25,0,0,0,0,141,1
1,68,0,0,0,1,112,0
1,21,0,0,1,0,363,0
1,22,0,0,0,0,206,0
1,42,0,0,1,0,363,0
1,22,0,1,1,0,363,1
1,45,0,0,0,0,154,1
0,36,0,0,4,0,191,1
1,48,0,0,2,0,138,0
1,23,0,0,6,0,158,1
1,24,0,0,0,0,103,0
1,29,0,0,0,0,158,0
1,24,0,0,0,0,41,0
1,50,0,0,11,0,185,0
1,34,0,1,10,0,363,1
1,23,0,0,0,0,158,0
0,22,0,0,0,1,173,0
1,30,0,0,22,0,267,1
1,21,0,0,0,0,106,1
0,53,0,0,0,0,267,0
1,25,0,1,7,1,363,1
0,25,0,0,1,1,363,0
1,71,0,0,8,0,118,0
1,39,0,4,10,1,363,0
0,37,0,0,0,0,267,0
1,20,0,0,0,0,267,1
0,29,0,0,3,0,267,0
1,22,0,0,2,0,267,1
1,26,0,0,4,0,13,1
0,47,0,0,19,0,267,1
0,20,0,0,1,0,56,1
0,23,0,0,0,0,158,0
0,53,0,0,0,0,146,0
0,23,0,0,0,0,5,0
1,26,0,0,5,0,154,1
1,25,0,0,6,0,56,0
1,27,0,0,4,0,206,1
1,29,0,0,1,1,316,0
1,31,0,0,0,1,35,0
1,41,0,0,8,0,267,1
1,25,0,0,0,1,87,0
1,47,0,0,0,1,171,0
1,37,0,0,4,0,118,0
0,35,0,0,4,0,10,0
1,24,0,0,1,1,35,1
1,21,0,2,2,0,154,1
1,22,0,0,0,0,49,1
1,57,0,0,11,0,267,0
1,48,0,0,0,0,158,0
0,37,0,0,3,0,287,0
1,31,0,0,0,1,35,0
1,22,0,1,1,0,136,1
1,31,0,0,2,1,88,0
1,24,0,0,0,0,49,1
1,32,0,0,22,0,363,1
1,63,0,0,0,1,87,0
1,20,0,0,0,0,158,0
0,24,0,0,1,1,35,1
0,36,0,0,1,1,316,0
1,28,0,0,2,0,206,0
1,36,0,0,3,0,118,1
0,33,0,0,0,1,307,0
1,39,0,0,0,0,118,0
1,30,0,0,17,0,363,1
1,24,0,0,1,0,363,1
1,35,0,0,7,0,266,0
1,24,0,0,0,0,118,0
1,26,0,0,8,0,363,0
1,28,0,0,14,0,151,1
1,32,0,0,0,1,358,0
0,32,0,0,1,1,35,1
1,33,0,0,5,1,316,1
1,29,0,1,16,0,267,0
1,34,0,0,1,1,95,1
1,43,0,0,0,1,35,0
1,47,0,0,2,0,319,0
1,25,0,0,3,1,35,1
0,23,0,0,1,0,363,0
1,39,0,0,2,1,35,0
1,35,0,0,13,0,267,1
1,43,1,0,20,0,118,0
1,25,0,1,3,0,149,1
1,48,1,0,25,0,363,1
1,22,0,0,1,1,35,1
1,52,1,0,9,1,35,1
1,26,0,0,5,0,267,1
1,67,0,0,4,1,158,1
1,34,0,0,4,1,363,0
1,56,0,0,4,1,113,0
1,28,0,0,1,0,266,1
1,29,0,0,2,1,35,0
1,37,0,0,6,0,147,1
1,51,0,0,0,0,52,0
1,20,0,0,1,1,239,1
1,26,0,0,4,1,355,1
0,39,0,0,1,1,35,1
1,21,0,0,1,0,363,0
1,21,0,1,1,0,25,1
1,24,0,2,3,0,118,1
1,26,0,1,4,1,35,1
1,48,0,0,1,0,267,0
1,24,0,1,5,0,206,1
1,26,0,0,0,0,267,0
1,46,0,0,0,0,267,0
1,24,0,1,7,1,35,0
0,21,0,0,0,1,239,0
1,24,0,0,1,0,363,1
1,36,0,0,9,1,113,0
1,30,0,0,5,0,105,1
0,22,0,0,1,0,251,0
1,25,0,0,0,0,111,1
1,31,0,3,25,1,288,1
1,24,0,0,0,0,294,0
1,39,0,0,13,0,49,1
0,30,0,0,4,0,56,0
1,40,0,0,0,0,42,0
0,52,0,0,0,0,13,0
1,23,1,0,3,0,156,0
0,26,0,0,1,1,35,0
1,22,0,1,1,0,158,1
1,42,0,0,3,0,267,0
1,23,0,3,6,0,49,1
1,28,0,0,1,0,363,0
1,50,0,0,1,0,73,0
1,32,0,0,1,0,363,0
1,51,0,0,3,0,158,0
1,19,0,0,1,1,35,1
1,32,0,0,4,0,363,0
0,31,0,0,1,0,267,1
0,29,0,0,1,0,363,0
1,26,0,0,9,0,118,1
1,27,0,0,0,0,351,1
1,52,0,0,1,0,49,1
1,28,0,0,3,1,363,1
1,32,0,0,3,0,56,1
1,27,0,0,5,1,121,1
0,42,0,0,0,1,117,0
1,33,0,0,0,0,146,1
0,28,0,0,3,1,35,0
0,53,0,0,0,1,88,0
1,24,0,0,0,0,158,0
1,39,0,0,6,1,112,1
1,22,0,0,1,0,267,1
1,46,0,0,2,0,158,1
1,25,0,0,0,1,35,0
1,52,0,0,1,0,363,0
1,28,0,0,4,1,35,1
0,57,0,0,1,0,267,1
1,49,0,0,3,0,363,1
1,21,0,0,2,0,267,1
1,32,0,0,19,0,267,1
1,63,0,0,3,1,334,0
1,29,0,0,2,0,132,0
1,46,0,0,0,1,35,0
1,28,0,0,10,1,35,1
1,27,0,0,1,0,363,0
0,33,0,0,1,1,35,0
1,32,0,0,14,0,154,1
1,24,0,0,2,0,73,0
1,26,0,0,5,0,146,1
1,25,0,0,1,0,267,0
1,21,0,0,1,0,267,0
1,25,0,0,2,1,35,1
1,22,1,1,6,0,363,1
0,26,0,0,0,0,251,0
1,20,0,0,0,0,206,0
1,30,0,0,1,1,35,1
1,45,0,0,0,0,274,1
1,33,0,0,7,0,267,1
1,35,0,0,2,0,64,0
1,41,0,0,5,0,146,0
1,23,0,0,0,1,355,0
0,21,0,1,0,1,117,1
1,54,0,0,0,0,267,0
1,27,0,0,10,0,363,1
1,22,0,0,0,1,112,0
1,23,0,0,2,0,206,1
1,36,0,0,5,1,355,1
1,29,0,0,10,0,103,1
1,54,0,0,4,1,35,1
1,22,0,0,2,1,35,1
1,26,0,0,0,1,35,1
0,20,0,0,0,0,158,0
1,52,0,0,6,1,35,1
1,29,0,0,0,0,298,0
0,23,0,0,6,1,201,0
1,35,0,0,1,1,363,0
1,32,0,0,8,0,147,1
1,21,0,0,1,1,35,1
1,30,0,0,4,1,35,1
0,30,0,0,3,0,167,0
1,23,0,0,2,0,363,1
1,32,1,0,8,0,52,0
1,29,0,0,6,0,363,1
1,42,0,0,0,1,182,0
1,21,0,0,0,0,247,1
0,22,0,0,0,1,35,0
1,29,0,0,0,1,237,0
1,30,0,0,6,0,363,1
1,51,0,0,17,1,86,0
1,24,0,0,2,0,251,0
1,23,0,0,2,1,35,0
1,36,0,0,5,0,267,0
1,39,0,0,1,0,363,0
1,29,0,0,2,0,46,0
1,44,0,0,6,0,118,0
1,25,0,0,2,0,154,0
1,31,0,0,0,0,118,0
1,35,0,1,17,1,35,1
1,33,0,0,1,0,319,0
1,28,0,0,6,0,62,1
1,60,0,0,1,0,363,0
0,54,0,0,0,0,10,0
1,24,1,2,3,1,35,0
0,75,0,0,5,0,363,0
1,36,0,0,16,0,118,1
0,25,0,0,5,1,357,1
1,46,0,0,0,0,174,0
1,27,0,0,1,0,363,0
1,28,0,0,3,1,76,1
1,42,1,0,13,1,281,1
1,59,0,0,2,1,117,0
1,39,0,0,1,0,187,0
1,46,0,0,5,1,35,0
1,55,0,0,2,0,176,0
1,35,0,0,1,1,204,1
1,43,0,0,0,1,35,1
0,53,0,0,0,1,117,0
0,21,0,0,0,1,35,0
1,55,0,0,17,0,267,1
1,27,0,0,1,0,266,1
1,40,0,0,0,0,142,0
0,37,0,0,0,1,182,0
1,32,0,0,2,1,35,1
1,32,0,0,2,1,55,0
1,36,0,0,4,1,35,1
0,31,0,0,0,0,158,0
0,26,0,0,4,0,146,1
0,50,0,0,30,1,363,1
1,47,0,0,4,0,267,0
1,36,0,0,2,0,73,0
0,38,0,0,0,0,64,0
1,53,0,0,0,0,64,0
1,53,0,0,2,0,146,0
1,57,0,0,19,0,143,0
1,22,0,0,5,0,363,1
1,21,0,0,0,0,158,1
1,26,0,0,0,0,62,1
1,27,0,0,2,0,2,0
0,49,0,0,4,0,363,0
1,47,0,0,1,0,267,1
1,30,0,0,8,0,267,1
1,44,0,0,3,0,267,0
1,34,0,0,1,0,11,0
1,45,0,0,10,0,5,1
1,50,0,0,2,1,35,0
1,29,0,0,1,1,35,0
1,26,0,0,0,0,101,0
0,22,0,0,1,0,158,1
1,49,0,0,0,0,267,0
1,49,0,0,1,0,287,1
1,59,0,0,2,0,363,0
1,32,0,0,6,1,35,0
1,24,0,0,1,1,316,1
1,32,0,0,0,0,132,0
1,27,0,0,9,0,363,1
1,25,0,0,2,1,202,0
1,20,0,0,0,1,35,1
1,37,2,0,18,1,35,0
0,30,0,0,5,0,320,1
1,23,0,0,1,0,339,1
0,20,0,0,0,0,158,0
1,50,0,0,8,0,363,0
1,50,0,0,7,0,5,0
1,40,0,0,3,0,146,0
0,24,0,0,2,0,363,0
0,23,0,0,3,0,363,1
1,54,0,0,3,1,201,1
1,25,0,0,4,1,239,0
1,46,0,0,1,1,357,0
0,22,0,0,0,1,112,0
0,32,0,0,1,0,319,0
1,25,0,0,0,1,288,1
1,33,0,0,16,0,118,1
1,33,0,0,4,1,35,1
1,24,0,0,0,0,227,0
1,33,0,0,12,1,35,1
1,37,0,0,0,1,316,0
0,40,0,0,0,1,35,0
1,43,0,0,9,0,141,1
1,35,0,0,5,0,118,1
1,25,0,1,11,0,158,1
1,61,0,0,1,0,146,1
0,52,0,0,1,0,353,0
1,39,0,0,1,1,239,1
1,47,0,0,5,0,363,0
0,52,0,0,6,1,322,0
1,37,0,0,0,1,35,0
0,24,0,0,0,0,289,0
0,34,0,0,14,0,73,0
1,25,0,0,1,1,239,1
0,62,0,0,0,1,182,0
1,23,0,0,0,0,363,1
0,60,0,0,0,0,158,0
1,35,0,0,0,1,35,0
0,24,0,0,0,0,158,0
1,30,0,0,0,1,117,0
1,35,0,0,4,0,146,1
0,28,0,0,0,1,166,0
1,56,0,0,0,0,192,0
1,23,0,0,2,0,326,1
1,23,0,1,1,1,35,0
1,21,0,0,0,0,56,1
0,35,0,0,2,0,363,0
1,33,0,0,3,1,316,0
1,41,2,1,9,1,219,0
1,24,0,0,0,0,49,0
1,28,0,0,9,0,236,1
1,49,0,0,3,0,267,0
1,21,0,0,0,0,49,1
0,27,0,0,3,0,154,1
1,50,0,0,4,1,23,0
0,23,0,0,0,1,35,0
1,34,0,0,0,1,35,0
1,25,0,0,4,0,292,1
0,33,0,0,2,0,75,1
0,29,0,0,11,0,267,1
0,32,0,0,6,0,363,1
1,52,0,0,3,0,363,0
0,26,0,0,3,1,35,0
1,31,0,0,2,0,267,1
0,30,0,0,0,0,267,0
1,20,0,0,0,1,35,1
1,31,0,0,0,0,100,0
0,37,0,0,1,1,117,0
1,49,0,0,8,0,145,1
0,33,0,0,1,0,236,0
1,42,0,0,0,1,173,0
1,44,0,0,0,0,340,1
1,28,0,0,5,0,363,1
1,32,0,0,4,0,363,1
1,28,0,0,7,0,10,1
1,38,0,0,0,0,11,0
1,38,0,0,3,0,185,0
0,34,0,0,0,1,35,0
1,21,0,0,1,0,266,1
1,36,0,0,1,0,267,1
1,29,0,0,0,1,14,1
1,34,0,0,3,0,267,1
1,38,0,0,1,1,363,0
1,36,0,0,0,0,132,0
1,23,0,0,0,1,35,0
1,47,0,0,0,1,88,0
1,20,0,0,0,0,62,0
0,25,0,0,2,0,41,1
1,35,0,0,0,1,35,0
0,28,0,0,1,1,35,0
