sex,age,juv_fel_count,juv_misd_count,priors_count,c_charge_degree,c_charge_desc,race,two_year_recid
1,25,0,0,5,0,118,1,1
1,37,0,0,8,1,35,0,0
1,28,0,0,4,0,158,0,0
1,49,0,0,0,0,267,1,1
1,21,0,0,1,0,363,1,0
0,42,0,0,1,0,146,0,0
1,22,0,1,1,0,158,1,1
1,37,0,0,3,0,236,0,0
1,22,0,0,0,1,239,0,0
1,26,0,0,4,0,101,1,1
0,24,0,0,1,1,35,0,1
1,22,0,0,0,1,288,0,0
1,36,0,0,6,0,79,0,0
1,39,0,0,1,0,308,1,0
0,20,0,0,0,0,56,0,1
1,30,0,0,1,1,239,0,0
1,53,0,0,1,1,88,0,0
1,50,0,0,4,0,118,0,1
1,61,0,0,0,1,35,1,0
1,54,0,0,1,1,363,0,0
1,23,0,0,0,0,103,0,0
1,31,0,0,2,0,118,0,1
0,28,0,0,0,1,35,0,0
0,49,0,0,8,0,363,1,0
1,44,3,0,16,1,117,1,0
1,26,0,0,0,1,35,1,0
1,31,0,0,15,0,146,0,0
1,22,1,0,2,0,31,0,1
1,67,0,0,0,1,35,1,0
1,44,0,0,14,0,146,0,1
1,22,0,0,1,1,24,0,1
1,33,0,0,1,1,35,0,1
1,48,0,0,0,0,142,0,0
1,33,0,0,2,1,87,1,0
0,32,0,0,1,0,319,1,0
1,54,0,0,2,1,35,0,0
1,45,0,0,10,0,5,0,1
1,33,0,0,6,0,206,0,0
1,28,0,0,4,0,363,1,0
1,38,0,0,0,0,51,0,0
1,22,0,0,2,1,35,1,1
1,28,0,0,10,0,267,0,1
1,24,0,1,9,1,201,0,1
1,37,0,0,0,1,316,0,0
1,26,0,0,9,0,115,0,1
0,22,0,0,0,1,35,0,1
1,67,0,0,0,1,35,1,0
1,51,0,0,0,0,52,1,0
1,37,0,0,0,1,35,1,0
0,23,0,0,4,1,35,1,1
1,34,0,0,0,1,88,1,1
1,26,0,0,0,1,201,0,1
1,26,1,0,3,0,143,0,1
1,49,0,0,4,0,13,1,0
1,54,0,0,3,0,363,0,1
1,56,0,0,9,1,363,0,0
1,29,0,1,16,0,267,0,0
1,31,3,0,15,1,35,0,1
1,25,0,0,2,0,363,1,0
1,27,0,0,1,0,94,1,0
1,61,0,0,0,1,117,1,0
1,32,0,0,0,1,204,1,1
1,31,0,0,0,0,154,1,1
0,27,0,1,10,0,363,0,1
1,44,0,0,0,1,35,0,0
0,33,0,0,0,1,196,1,0
1,55,0,0,0,0,42,1,0
1,48,0,0,6,0,363,0,0
1,29,0,0,9,0,363,0,1
1,35,0,0,1,0,267,1,0
1,21,0,0,0,0,106,0,1
1,43,0,0,5,1,363,0,0
1,35,0,0,12,1,35,0,1
1,25,0,0,7,1,332,1,1
1,20,0,1,1,0,226,1,1
1,45,0,0,0,0,27,1,0
1,32,0,0,0,1,358,0,0
1,39,0,0,4,0,147,0,0
1,25,0,0,2,0,323,0,0
1,29,0,0,0,0,158,1,0
1,30,0,0,0,1,35,0,0
0,23,0,0,0,0,49,0,0
1,23,0,0,0,1,35,1,0
0,21,0,0,0,1,279,0,0
1,28,0,0,2,1,35,1,0
1,25,0,3,6,1,358,0,0
1,21,0,0,0,0,56,0,1
1,30,0,0,4,1,35,0,0
1,23,0,0,3,1,35,0,1
1,33,0,0,6,1,35,0,0
1,47,0,0,3,1,121,0,1
0,49,0,0,25,0,147,0,1
1,30,0,0,4,0,259,1,1
1,40,0,0,2,1,35,0,0
1,37,1,0,12,1,113,0,1
1,37,1,8,23,0,105,0,1
1,34,0,0,13,0,158,1,1
1,44,0,0,1,1,35,1,0
1,33,0,0,2,0,296,0,1
1,27,0,2,17,0,118,0,1
1,48,0,0,5,0,267,0,1
0,31,0,0,1,0,267,1,1
1,53,0,0,2,0,126,1,0
0,49,0,0,2,1,117,1,1
1,46,0,0,10,0,363,1,1
0,57,0,0,2,0,267,1,0
1,51,0,0,0,1,201,0,0
1,40,0,0,5,0,191,1,0
1,24,0,0,1,0,118,0,0
1,46,0,0,1,1,35,1,1
1,22,0,0,1,0,320,0,1
1,27,0,0,7,1,292,0,1
0,43,0,0,9,1,35,0,0
1,30,0,0,7,0,94,1,1
1,44,0,0,1,1,284,0,0
1,37,0,0,2,0,363,0,0
0,31,0,0,2,0,17,0,1
1,46,0,0,0,1,35,1,0
1,44,0,0,2,0,363,0,0
1,45,0,0,8,0,363,0,1
1,28,0,1,10,0,363,0,1
0,28,0,0,1,0,363,1,0
1,59,0,0,3,0,363,0,0
0,30,0,0,2,0,158,0,0
0,27,0,0,1,0,363,1,1
1,30,2,0,8,0,363,0,0
1,41,0,0,0,0,363,0,0
0,20,0,2,3,1,35,1,1
1,46,0,0,0,0,206,0,1
0,41,0,0,7,0,266,0,1
0,24,0,0,0,0,158,0,0
1,40,0,0,21,0,141,0,0
1,31,0,0,1,0,41,1,0
1,35,0,0,1,0,266,1,0
1,33,0,0,2,1,35,0,0
1,47,0,0,4,0,267,0,0
0,50,0,0,7,1,76,1,1
1,24,0,0,6,0,105,0,1
1,59,0,0,0,0,251,1,0
1,31,0,0,2,1,35,1,1
1,21,0,0,2,0,158,0,1
1,24,0,4,14,0,154,0,1
1,27,0,0,0,0,158,1,1
0,24,0,0,3,1,203,0,1
1,26,0,0,6,0,266,0,1
0,53,0,0,1,1,35,1,0
1,30,0,0,0,1,239,0,1
1,27,0,0,1,1,239,0,0
0,47,0,0,28,0,144,1,1
0,24,0,0,2,1,343,0,0
1,22,0,0,0,0,27,0,1
1,41,0,0,14,0,247,1,1
1,35,0,0,1,0,132,0,0
1,45,0,0,3,1,357,0,0
0,60,0,0,9,0,363,1,1
0,35,0,0,1,0,363,0,0
0,55,0,0,0,1,35,1,0
1,62,0,0,0,1,23,1,0
1,28,0,0,4,1,35,0,1
1,43,0,0,4,1,357,0,1
1,47,0,0,28,0,70,1,1
1,28,0,0,5,0,158,0,0
0,28,1,0,1,1,35,0,1
1,58,0,0,2,1,35,1,1
1,22,0,2,3,0,266,1,1
1,31,1,1,12,1,288,0,1
1,23,0,0,0,0,206,0,0
1,29,0,0,6,0,267,0,1
1,28,0,0,5,1,35,1,1
1,24,0,0,0,1,116,1,1
1,22,0,0,0,1,204,1,1
1,49,0,0,0,0,158,1,0
0,35,2,0,9,0,363,0,0
1,20,0,0,0,0,158,0,0
1,24,0,0,1,0,267,0,1
1,52,0,0,7,1,35,1,0
1,44,0,0,0,1,355,0,0
0,36,0,0,3,0,267,1,0
1,27,0,0,15,0,17,0,1
1,50,0,0,1,1,35,1,0
1,30,0,0,7,1,23,0,1
0,33,0,0,3,1,35,0,0
1,34,0,0,4,0,103,0,1
1,22,0,0,3,0,267,1,1
1,23,0,0,4,0,210,0,1
1,39,0,0,0,1,35,1,0
1,30,0,0,1,0,41,0,1
1,28,0,0,0,0,73,1,0
1,30,0,0,10,0,363,0,1
1,44,0,0,3,0,267,1,0
1,22,0,0,1,0,56,0,1
1,23,0,0,1,1,288,1,1
1,29,0,0,3,1,239,0,0
1,36,0,0,2,1,35,1,0
1,30,0,0,4,1,35,0,1
0,26,0,0,6,0,363,0,1
1,25,0,0,0,1,113,1,1
1,36,0,0,0,0,158,0,0
1,25,0,0,7,0,363,0,0
0,48,0,0,0,0,320,0,1
0,33,0,0,0,1,239,1,1
1,49,0,0,4,1,35,0,0
1,56,0,0,3,0,42,1,0
1,24,0,0,3,0,247,0,1
1,31,0,0,6,1,35,1,1
1,55,0,0,0,1,87,1,0
1,52,0,0,2,0,158,1,1
1,51,0,0,0,1,355,0,1
1,27,0,0,0,0,118,1,1
1,35,0,0,3,1,23,0,1
1,23,0,0,1,0,158,0,1
1,24,0,0,2,0,328,0,1
0,26,0,0,0,1,117,1,0
1,21,0,0,2,0,158,1,1
1,21,1,0,1,0,363,0,1
1,23,0,0,0,0,206,0,0
1,48,0,0,2,0,138,0,0
1,28,0,0,2,1,35,1,1
1,31,0,0,8,1,35,0,1
0,47,0,0,19,0,267,0,1
1,22,0,0,1,1,35,1,0
1,36,0,0,1,0,363,1,0
1,23,0,0,2,1,35,0,1
1,25,0,0,0,1,201,0,1
1,38,0,0,9,0,158,0,1
1,63,0,0,2,1,355,0,0
0,28,0,0,1,1,158,1,0
1,51,0,0,0,1,87,1,0
1,25,0,0,1,1,316,0,0
1,35,0,1,17,1,35,0,1
0,44,0,0,0,0,320,0,0
1,29,0,0,0,1,288,0,0
1,51,0,0,0,1,35,0,0
1,52,0,0,17,0,267,0,1
1,29,0,0,0,1,239,1,0
1,57,0,0,0,1,35,0,0
1,41,0,0,1,0,303,1,0
0,39,0,0,0,1,113,1,0
1,41,0,0,0,0,2,1,0
1,27,0,0,2,0,158,1,0
1,30,0,0,7,0,363,0,1
1,20,0,0,1,0,236,0,0
0,51,0,0,0,1,171,1,1
0,34,0,0,0,0,223,1,1
0,39,0,0,0,1,35,1,0
1,29,0,0,2,1,35,0,0
1,38,0,0,15,0,115,0,0
1,55,0,0,1,1,88,1,0
1,41,0,0,1,0,158,0,0
1,31,0,0,11,0,136,1,1
1,42,0,0,0,1,35,1,0
0,67,0,0,0,0,11,0,0
1,35,0,0,3,1,35,1,1
1,66,0,0,2,1,355,1,0
0,59,0,0,0,1,35,0,0
1,41,0,0,1,1,363,0,0
1,29,0,0,4,1,35,0,0
1,22,0,0,2,0,267,0,1
0,24,0,0,1,1,87,1,0
1,30,0,0,3,1,35,0,0
1,27,0,2,13,0,363,0,1
1,26,0,0,0,0,266,1,0
1,30,0,0,3,1,35,0,1
1,45,1,0,16,0,267,0,0
1,20,0,0,1,0,56,0,1
1,26,0,0,0,1,35,1,0
1,22,0,0,1,0,363,0,0
0,22,0,0,0,1,35,1,0
0,40,0,0,3,0,267,1,1
1,24,0,1,4,0,267,0,1
1,31,2,1,16,0,158,0,1
1,28,0,0,1,0,363,0,0
1,51,0,0,17,1,86,0,0
1,22,0,0,0,0,158,0,0
1,29,0,1,13,0,223,0,1
0,26,0,0,0,0,267,1,0
1,21,0,0,0,0,41,0,0
1,46,0,0,0,1,116,1,0
0,30,0,0,0,0,158,1,1
1,28,0,0,0,0,236,0,0
1,37,0,0,6,0,64,0,0
1,52,0,0,6,1,35,0,1
1,33,0,0,5,0,118,1,1
1,21,0,0,0,0,158,1,1
1,24,0,0,0,0,206,1,0
1,33,0,0,3,0,363,1,0
1,39,0,0,0,0,17,1,0
1,46,1,0,9,0,158,0,1
1,22,0,0,0,0,206,0,0
1,35,0,0,3,1,355,1,0
1,37,0,0,11,0,118,1,1
1,67,0,0,0,0,79,1,0
0,22,0,0,0,1,35,0,1
1,32,0,0,4,1,316,0,1
1,28,0,0,3,1,363,0,1
0,26,0,0,1,1,35,0,0
1,34,0,0,0,0,158,0,0
1,46,0,0,0,0,174,1,0
1,33,0,0,0,1,35,1,0
1,25,1,0,2,0,267,0,0
0,49,0,0,1,0,363,1,0
1,46,0,0,0,0,158,1,0
1,22,0,0,1,0,99,0,1
1,20,0,0,0,0,64,1,0
0,39,0,0,1,0,363,0,0
0,58,0,0,3,1,363,0,0
1,44,0,0,4,1,35,1,0
0,35,0,0,4,0,143,1,0
1,31,0,0,3,1,35,1,0
1,63,0,0,1,0,363,0,0
1,28,0,0,0,0,75,0,1
1,61,0,0,25,0,56,0,0
0,20,0,0,0,1,35,0,1
0,55,0,0,0,0,158,1,1
0,24,0,0,2,0,152,0,0
0,34,0,0,1,1,35,1,0
1,37,0,0,3,1,35,0,0
1,45,0,0,3,0,320,1,1
0,35,0,0,1,1,35,1,0
1,33,0,0,9,0,147,1,1
0,25,0,0,0,1,35,1,0
1,51,0,0,1,1,239,0,1
1,37,0,0,0,1,88,1,0
1,21,0,0,0,0,349,0,0
0,55,0,0,0,1,88,1,0
0,30,0,0,0,1,35,0,0
0,30,0,0,0,1,35,0,0
1,25,0,0,0,1,117,1,1
1,51,0,0,0,0,267,0,1
1,21,0,0,1,0,158,0,1
1,21,0,0,0,0,158,0,1
1,41,0,0,0,1,23,0,0
1,28,0,0,0,1,35,1,0
0,22,0,1,2,1,35,0,1
1,41,0,0,8,0,118,0,1
1,42,0,0,14,0,115,0,1
0,31,0,0,10,0,118,0,0
1,25,0,0,8,1,35,0,1
1,47,0,0,3,0,363,1,0
1,20,0,0,0,0,103,0,0
1,23,0,0,2,0,293,0,0
0,65,0,0,1,0,167,1,0
1,51,0,0,8,1,67,0,0
1,29,0,1,2,1,35,0,1
1,37,0,0,11,1,35,0,1
1,47,0,0,1,0,41,0,0
1,29,0,0,1,1,35,0,1
1,39,0,0,2,1,117,0,0
1,21,0,2,3,0,174,0,1
1,27,0,0,0,1,35,0,0
1,27,0,0,1,0,363,1,1
1,26,0,0,3,0,74,0,1
1,27,0,0,10,0,118,0,1
1,23,0,1,2,0,17,0,1
1,32,0,0,14,0,154,0,1
1,20,0,0,0,1,35,0,1
1,50,0,0,0,0,62,1,0
1,34,0,0,8,1,35,0,0
1,20,0,0,0,0,158,1,0
0,27,0,0,3,0,158,0,1
1,44,0,0,8,1,35,0,1
1,21,0,0,1,0,267,0,1
0,29,0,0,3,0,267,0,0
1,39,0,0,0,1,355,1,0
1,58,0,0,1,1,35,1,0
1,35,0,0,16,0,363,0,1
1,22,0,0,0,1,112,1,0
1,38,0,0,0,0,251,1,0
1,27,0,0,3,0,363,0,0
0,24,0,0,4,0,267,0,1
1,26,0,0,1,0,154,1,1
1,36,0,0,2,1,87,0,0
1,22,0,1,3,1,35,1,1
1,29,0,0,12,0,118,0,1
0,51,0,0,0,1,41,1,0
1,23,0,0,2,0,158,1,1
1,30,0,1,3,0,321,1,0
1,26,0,0,5,0,363,0,1
0,38,0,0,14,0,267,0,1
0,29,0,0,3,0,363,1,0
1,66,0,0,0,1,35,1,1
1,54,0,0,8,0,267,0,1
1,26,0,0,2,0,10,1,1
1,26,0,0,1,1,201,1,0
1,21,0,0,1,0,158,0,0
1,36,0,0,2,1,117,1,0
0,61,0,0,15,0,147,1,0
1,29,0,0,8,1,316,0,0
1,36,0,0,5,0,267,1,1
0,50,0,0,4,0,5,0,0
1,29,0,0,1,1,35,1,0
1,35,0,0,6,0,363,0,1
1,39,0,0,1,0,363,0,0
0,44,0,0,0,0,158,1,1
1,44,0,0,0,0,7,0,0
1,49,0,0,0,0,146,1,0
1,49,0,0,1,1,363,0,0
0,24,0,1,3,1,35,1,1
1,25,0,0,5,1,35,0,1
1,22,0,0,0,0,282,0,0
1,30,0,1,4,1,205,1,1
1,54,0,0,0,0,2,1,0
1,57,0,0,1,0,363,0,0
0,24,0,0,1,0,363,1,0
0,36,0,0,0,1,87,0,0
1,37,0,0,2,1,87,1,0
1,28,0,0,1,1,35,1,0
1,33,0,0,0,1,35,0,0
1,34,0,0,0,0,13,1,0
0,54,0,0,0,1,87,1,0
1,23,0,0,0,0,56,1,0
1,52,0,0,3,1,288,0,1
1,22,0,0,0,0,206,1,0
1,20,0,0,0,0,56,0,0
1,57,0,0,2,1,363,0,0
1,47,0,0,0,1,35,1,1
1,42,0,0,2,0,103,1,1
1,34,1,0,10,0,251,0,1
1,38,0,0,2,1,35,1,0
1,23,0,0,0,1,35,0,0
1,57,0,0,0,0,5,1,0
1,25,0,0,0,0,142,0,1
1,35,0,0,4,1,35,1,0
1,25,0,0,3,0,267,0,1
1,22,0,0,0,1,35,1,0
1,26,0,0,1,0,105,0,0
1,53,0,0,13,0,230,0,0
1,23,0,1,2,0,56,0,0
0,21,0,0,0,1,35,0,1
1,56,0,0,0,1,39,1,0
1,46,0,0,5,0,37,1,1
1,21,0,0,1,0,194,0,1
1,46,0,0,2,1,363,0,0
1,45,0,0,1,1,112,1,0
1,60,0,0,2,0,267,0,0
1,34,1,0,5,0,143,0,0
1,49,0,0,0,0,267,0,0
1,34,0,0,1,1,35,1,0
1,36,0,0,5,1,355,1,1
1,22,0,0,0,0,142,0,0
1,27,0,1,7,1,35,1,1
0,35,0,0,3,1,35,0,1
1,44,0,0,7,0,363,0,0
1,25,0,0,2,0,267,1,1
0,21,0,0,0,0,353,0,0
1,30,0,0,0,0,142,0,0
1,25,0,1,6,0,73,1,1
0,23,0,0,0,0,267,1,0
0,52,0,0,2,0,267,0,1
1,37,0,0,2,1,35,0,1
0,34,0,0,5,0,259,1,1
1,26,0,0,1,0,363,1,1
0,37,0,0,0,1,279,0,0
1,31,0,0,6,1,88,1,0
1,29,0,0,3,0,363,0,1
0,37,0,0,3,0,287,0,0
1,27,0,0,0,0,158,1,0
1,22,0,0,0,0,75,0,1
1,40,0,0,13,0,363,0,0
1,62,0,0,0,0,132,1,0
0,29,0,0,1,1,35,0,0
1,24,0,0,1,1,35,0,0
0,30,0,0,3,0,167,0,0
1,24,1,0,2,1,279,0,1
1,55,0,0,0,0,158,0,0
1,26,1,0,2,0,266,1,0
1,25,0,0,1,0,158,0,1
1,45,0,0,0,0,274,0,1
1,51,0,0,0,0,75,0,1
1,35,0,0,2,0,266,0,0
1,39,0,0,9,0,267,1,1
1,22,0,0,0,0,158,0,0
1,25,0,1,9,0,52,1,1
1,27,1,2,11,0,105,0,0
1,42,0,0,0,0,272,1,0
1,27,0,0,4,1,35,0,0
1,50,0,0,5,0,118,1,1
1,42,0,0,0,1,117,1,0
1,26,0,0,2,0,56,0,0
1,35,0,0,2,0,64,1,0
1,30,0,0,0,0,158,1,0
0,23,0,0,1,1,35,1,0
1,53,0,0,1,0,363,1,0
0,29,0,0,2,0,287,0,1
0,21,0,1,2,0,103,0,0
1,47,0,0,0,1,35,0,1
0,24,0,2,7,1,17,1,0
0,26,0,0,1,0,2,1,0
1,21,0,0,0,0,14,0,1
1,19,0,0,0,0,287,0,1
1,25,0,0,5,0,363,0,1
1,29,0,0,0,0,158,0,0
1,22,0,0,0,1,344,0,1
1,35,0,0,1,0,212,0,0
1,24,0,0,1,1,76,1,0
1,27,0,0,5,1,239,0,1
1,40,0,0,2,0,363,0,0
1,26,0,0,2,0,363,1,1
1,36,0,0,11,0,267,0,1
1,26,0,0,5,0,154,0,1
1,69,0,0,0,1,87,1,0
1,31,0,0,13,1,239,0,1
1,22,0,0,0,1,35,0,0
0,24,0,0,0,0,158,0,0
0,21,0,0,0,0,158,0,1
1,48,0,0,3,0,158,1,1
1,24,0,0,1,1,35,1,0
1,33,0,0,0,1,288,0,0
1,21,0,0,2,0,267,0,1
1,21,0,0,0,0,56,0,0
1,49,0,0,0,0,158,1,0
1,37,0,0,1,1,35,1,0
1,22,0,0,5,1,35,1,1
1,30,0,0,5,1,35,0,0
1,32,0,0,5,0,267,1,1
1,61,0,0,0,1,35,1,0
0,69,0,0,5,0,364,1,0
1,31,2,0,6,0,142,0,0
1,33,0,0,0,1,35,0,1
1,41,0,0,0,0,142,1,0
0,51,0,0,5,1,35,1,1
1,23,0,0,4,0,225,1,1
1,21,0,1,1,0,25,0,1
1,30,0,0,0,1,35,1,0
1,20,0,0,2,0,277,0,1
1,37,0,0,26,0,118,0,1
1,23,0,1,2,0,363,1,1
1,25,0,0,1,0,13,1,0
1,27,0,0,2,0,363,0,1
1,32,0,0,4,0,363,0,1
1,26,0,0,1,0,223,1,1
1,43,0,0,0,0,353,0,1
1,34,0,0,9,0,206,0,1
1,23,0,0,5,0,132,0,1
1,29,0,0,13,0,118,0,1
1,29,0,0,1,0,275,1,1
1,30,0,0,0,1,88,1,0
1,28,0,0,6,1,363,0,1
1,56,0,0,24,0,147,0,0
1,37,2,0,18,1,35,0,0
1,44,0,0,0,1,266,1,0
1,50,0,0,0,1,35,1,1
0,27,0,0,0,0,57,1,0
1,23,0,1,4,0,363,0,1
1,23,0,0,0,1,357,1,1
1,29,0,0,6,0,271,1,1
1,51,0,0,0,1,35,1,0
1,32,0,0,0,1,201,0,0
1,28,0,0,11,0,191,0,1
1,37,0,0,10,0,174,0,1
1,46,0,0,6,0,118,1,1
1,35,0,0,1,0,267,1,1
1,20,0,0,0,1,23,0,1
1,34,0,0,0,0,158,1,0
0,67,0,0,0,1,88,1,0
1,23,0,0,0,0,103,0,0
1,24,0,0,2,1,363,0,1
1,24,0,5,15,0,105,0,1
1,30,0,0,9,1,204,1,1
1,30,0,2,21,0,363,0,1
0,31,0,0,0,1,35,1,0
1,34,0,0,1,0,282,0,0
0,23,0,0,5,0,363,1,1
0,23,0,0,0,0,118,0,1
1,41,0,0,5,0,146,1,0
0,27,0,0,0,1,35,1,1
0,27,0,0,0,0,364,1,0
0,32,0,0,0,1,35,0,1
1,28,0,0,0,0,260,1,0
1,35,0,0,6,0,42,1,1
1,23,0,0,0,0,260,1,0
1,24,0,2,3,0,118,1,1
1,26,0,2,20,0,154,0,1
1,79,0,0,1,1,112,1,0
0,31,0,0,0,1,35,0,0
1,33,0,0,10,0,158,1,0
1,21,0,1,3,1,35,0,1
0,39,0,0,1,0,274,1,0
1,55,0,0,21,0,143,0,1
1,38,0,0,3,0,142,0,1
0,23,0,0,0,1,35,0,0
1,27,0,0,7,0,118,0,1
1,27,0,0,1,0,363,0,0
1,58,0,0,24,0,147,0,1
0,36,0,0,1,0,158,0,0
1,26,0,0,4,0,236,0,1
1,23,1,0,2,0,105,0,0
1,57,0,0,3,0,11,0,0
0,33,0,0,3,0,259,1,1
1,41,0,0,1,1,182,1,1
1,24,0,0,2,0,73,0,0
1,33,0,0,3,0,218,1,1
1,46,0,0,2,0,158,0,0
1,22,0,0,1,0,158,1,0
1,45,0,0,2,0,363,1,0
1,42,0,0,3,0,267,0,0
1,31,0,0,0,0,100,1,0
1,51,0,0,1,1,35,1,1
0,31,0,0,1,1,35,1,1
1,61,0,0,0,1,87,1,0
1,34,0,0,15,0,363,0,0
1,32,2,0,15,0,118,0,1
1,40,0,0,0,1,117,1,0
1,50,0,0,1,1,281,1,1
0,35,0,0,0,1,35,0,0
1,24,0,0,17,0,363,0,1
1,28,0,0,0,0,56,1,1
1,33,0,0,1,0,2,0,1
1,31,0,0,7,0,158,0,1
0,39,0,0,1,0,363,1,0
0,25,0,0,0,1,35,0,0
1,25,0,0,4,0,146,0,1
1,31,0,0,2,0,267,1,1
1,45,0,0,1,1,35,0,0
1,28,0,0,9,0,63,0,1
1,34,0,0,12,0,338,0,0
1,33,0,0,1,0,363,1,1
1,20,1,0,1,0,236,0,1
1,69,0,0,0,1,89,1,1
1,21,0,1,1,0,49,1,0
1,26,1,1,6,0,292,0,1
1,47,0,0,14,1,35,0,0
1,20,0,0,1,0,363,0,1
0,36,0,0,0,1,363,0,0
1,30,0,0,21,0,118,0,1
1,20,0,0,0,0,174,1,1
1,30,3,0,4,0,5,1,1
0,46,0,0,0,1,88,1,0
1,34,0,0,7,0,266,0,1
1,44,0,0,2,0,147,1,1
1,20,0,0,0,0,154,0,0
1,30,0,0,0,0,142,1,0
1,26,0,0,0,1,116,1,1
1,23,0,3,6,0,49,0,1
1,34,0,0,3,0,267,0,1
1,22,0,0,1,0,363,1,0
1,22,0,1,1,0,136,0,1
0,34,0,0,5,0,2,0,1
1,50,0,0,2,1,113,0,0
1,58,0,0,0,1,356,1,0
1,34,0,0,0,0,267,0,1
1,24,0,0,3,1,35,1,1
1,27,0,0,1,0,266,1,0
0,52,0,0,0,0,13,0,0
1,27,0,0,1,0,73,0,0
1,21,0,0,1,0,267,0,0
1,49,0,0,8,0,145,1,1
1,24,0,0,0,1,35,0,1
1,25,0,0,0,0,213,0,1
1,34,0,0,4,0,206,1,0
1,24,0,0,5,0,146,0,1
1,28,0,0,2,1,288,0,0
1,28,0,0,2,0,17,0,1
1,26,0,0,0,1,343,0,1
1,32,0,0,6,0,158,0,1
1,48,0,0,11,1,288,0,1
0,33,0,0,4,1,35,1,1
1,52,1,0,9,1,35,0,1
1,27,0,0,4,0,223,0,1
1,26,0,0,4,0,150,0,1
1,25,0,1,2,0,11,0,1
1,43,0,0,0,0,103,0,0
1,22,0,0,0,0,158,0,1
1,67,0,0,0,1,35,1,0
1,26,0,1,13,1,116,0,1
1,30,0,0,0,0,260,1,0
0,33,0,0,2,0,75,1,1
1,22,0,0,0,0,266,0,1
0,36,0,0,7,0,75,0,1
1,67,0,0,0,1,89,1,0
1,20,0,3,3,0,267,0,1
1,37,0,0,0,1,35,0,0
1,58,0,0,0,0,142,0,0
1,25,0,0,0,0,97,0,0
0,26,0,0,2,0,158,1,1
0,25,0,0,1,0,191,0,0
1,30,0,0,12,0,118,0,1
1,56,0,0,1,0,270,1,0
1,34,0,0,2,1,35,0,1
1,27,0,0,8,0,142,0,1
0,36,0,0,4,0,363,0,0
1,34,0,0,3,0,146,0,0
0,59,0,0,0,1,117,1,0
0,25,0,0,2,0,363,1,1
1,56,0,0,12,0,267,0,1
1,30,0,0,10,0,363,0,1
1,39,1,0,1,1,364,1,0
1,24,0,0,2,1,35,0,0
1,22,0,0,1,0,158,0,1
1,21,0,0,5,0,223,1,1
1,30,0,0,3,1,35,1,0
0,34,0,0,14,0,73,0,0
1,59,0,0,15,1,363,0,1
1,31,0,1,6,1,35,0,1
1,26,0,0,1,0,146,0,0
1,33,0,0,5,1,316,0,1
1,21,0,1,1,0,62,0,0
1,29,0,0,0,1,92,0,0
1,26,0,0,0,1,154,1,0
1,28,0,0,0,1,183,0,0
1,27,0,0,5,0,158,1,0
1,26,0,0,4,0,13,0,1
1,27,0,0,1,0,247,0,1
0,22,0,0,0,1,239,0,1
1,37,0,0,0,1,316,1,0
0,38,0,0,3,0,118,0,1
1,20,0,0,0,0,5,0,1
1,50,0,0,4,1,113,1,0
1,39,0,0,1,0,187,1,0
1,26,0,0,7,0,236,0,1
1,43,0,0,0,0,68,0,1
1,40,0,0,0,0,314,0,0
0,33,0,0,2,0,154,0,1
