entity_id,race,sex,age_cat,label_value
326,Caucasian,Female,Greater than 45,1
327,Caucasian,Male,Greater than 45,0
329,Other,Male,25 - 45,1
330,African-American,Male,Greater than 45,0
331,Caucasian,Male,25 - 45,1
332,African-American,Female,25 - 45,0
333,African-American,Female,25 - 45,0
334,African-American,Male,25 - 45,1
335,African-American,Male,25 - 45,0
336,Other,Male,25 - 45,1
337,African-American,Male,Greater than 45,0
338,African-American,Male,Less than 25,0
344,African-American,Male,25 - 45,0
345,Caucasian,Male,Greater than 45,0
347,Caucasian,Male,25 - 45,1
348,African-American,Male,Greater than 45,0
349,Caucasian,Male,25 - 45,0
350,African-American,Male,25 - 45,1
351,Caucasian,Male,25 - 45,0
354,African-American,Male,Less than 25,0
355,African-American,Male,25 - 45,0
356,Hispanic,Male,25 - 45,0
357,Caucasian,Male,25 - 45,1
358,Caucasian,Male,25 - 45,1
359,African-American,Male,25 - 45,0
361,Caucasian,Male,Greater than 45,0
362,African-American,Male,25 - 45,1
363,Caucasian,Male,25 - 45,1
364,African-American,Male,25 - 45,0
366,Caucasian,Male,Less than 25,1
369,Other,Female,25 - 45,0
372,Other,Female,25 - 45,0
379,Hispanic,Female,25 - 45,0
381,Hispanic,Male,Less than 25,1
382,Caucasian,Female,Less than 25,1
383,Hispanic,Male,Less than 25,0
384,African-American,Male,25 - 45,0
385,African-American,Male,Less than 25,1
386,African-American,Male,25 - 45,1
389,Other,Male,25 - 45,0
390,African-American,Male,25 - 45,0
393,African-American,Female,25 - 45,0
396,African-American,Male,Less than 25,0
398,Hispanic,Male,Less than 25,0
399,African-American,Female,Greater than 45,0
400,African-American,Female,Less than 25,1
402,African-American,Female,Greater than 45,0
404,Caucasian,Male,25 - 45,0
405,Caucasian,Male,25 - 45,1
406,African-American,Male,25 - 45,1
407,African-American,Male,Less than 25,1
408,Caucasian,Female,Less than 25,0
411,African-American,Female,25 - 45,0
414,Other,Female,25 - 45,0
416,African-American,Male,Greater than 45,1
417,African-American,Male,25 - 45,0
423,Caucasian,Male,25 - 45,0
425,Caucasian,Male,Greater than 45,0
428,Caucasian,Male,Greater than 45,0
429,African-American,Male,Less than 25,1
430,African-American,Male,25 - 45,1
431,Hispanic,Male,25 - 45,1
432,Caucasian,Male,25 - 45,0
435,African-American,Male,25 - 45,0
437,Caucasian,Male,Less than 25,1
438,African-American,Male,25 - 45,1
440,African-American,Male,25 - 45,1
441,Other,Male,Less than 25,0
445,Caucasian,Male,Greater than 45,0
446,African-American,Female,Less than 25,0
451,African-American,Male,Less than 25,1
452,Caucasian,Male,Greater than 45,0
456,Caucasian,Male,25 - 45,0
457,Other,Male,25 - 45,1
459,African-American,Female,25 - 45,0
461,Hispanic,Male,Less than 25,0
462,African-American,Male,25 - 45,0
463,Caucasian,Male,25 - 45,1
464,Caucasian,Male,25 - 45,1
465,Caucasian,Female,25 - 45,0
467,Other,Male,Less than 25,1
468,African-American,Male,25 - 45,0
469,African-American,Male,Less than 25,1
474,Caucasian,Female,Greater than 45,0
475,Caucasian,Male,Greater than 45,0
478,African-American,Male,25 - 45,0
480,African-American,Male,Less than 25,1
484,Caucasian,Male,25 - 45,0
485,African-American,Male,Less than 25,1
487,Caucasian,Male,Greater than 45,1
489,Caucasian,Male,25 - 45,1
494,Hispanic,Male,Less than 25,0
495,African-American,Female,25 - 45,0
496,Caucasian,Female,25 - 45,1
497,Hispanic,Female,Less than 25,0
499,Caucasian,Male,25 - 45,0
500,African-American,Female,Less than 25,1
501,Caucasian,Male,25 - 45,0
502,African-American,Male,Less than 25,0
504,Other,Male,25 - 45,1
505,African-American,Male,25 - 45,0
509,Caucasian,Female,25 - 45,0
510,Hispanic,Male,Greater than 45,0
516,African-American,Male,25 - 45,1
517,African-American,Male,Less than 25,0
518,African-American,Male,Greater than 45,0
522,Caucasian,Male,25 - 45,0
523,African-American,Male,Less than 25,1
524,Hispanic,Male,25 - 45,0
525,Other,Male,25 - 45,0
526,Caucasian,Female,Less than 25,0
527,Caucasian,Male,Greater than 45,0
530,Caucasian,Male,Less than 25,0
531,African-American,Male,25 - 45,1
532,Caucasian,Male,Less than 25,0
533,African-American,Female,Less than 25,1
537,African-American,Male,Greater than 45,0
538,African-American,Male,25 - 45,0
540,Caucasian,Female,Greater than 45,0
542,African-American,Male,Less than 25,1
545,Other,Female,Less than 25,0
546,Hispanic,Male,25 - 45,0
547,Caucasian,Male,25 - 45,0
548,African-American,Male,Less than 25,0
552,Caucasian,Male,Less than 25,1
557,African-American,Male,Less than 25,1
558,African-American,Male,Less than 25,1
561,Caucasian,Male,25 - 45,0
563,Caucasian,Female,Greater than 45,1
565,Caucasian,Male,25 - 45,1
566,African-American,Male,25 - 45,1
567,Caucasian,Female,Greater than 45,0
569,African-American,Female,Less than 25,0
572,African-American,Male,25 - 45,0
573,African-American,Male,25 - 45,0
576,African-American,Male,25 - 45,1
579,African-American,Male,Less than 25,1
580,Caucasian,Male,Less than 25,0
581,African-American,Male,25 - 45,1
584,African-American,Male,25 - 45,0
586,African-American,Male,Greater than 45,0
588,African-American,Male,25 - 45,0
590,Caucasian,Male,Greater than 45,1
594,Caucasian,Female,Greater than 45,0
597,African-American,Male,25 - 45,1
598,African-American,Male,25 - 45,0
599,Caucasian,Male,25 - 45,0
600,Hispanic,Female,25 - 45,0
602,African-American,Male,25 - 45,1
603,African-American,Male,25 - 45,0
604,African-American,Male,Less than 25,1
608,Caucasian,Male,25 - 45,0
611,African-American,Male,Greater than 45,0
612,African-American,Male,25 - 45,1
613,Caucasian,Male,Greater than 45,1
616,African-American,Male,25 - 45,0
617,Other,Male,Greater than 45,0
621,Hispanic,Male,Less than 25,0
622,Caucasian,Female,25 - 45,0
623,Caucasian,Male,Greater than 45,0
624,African-American,Female,Less than 25,0
627,African-American,Male,Greater than 45,0
628,Caucasian,Male,25 - 45,1
629,Hispanic,Male,Less than 25,0
630,Caucasian,Male,Less than 25,0
633,Caucasian,Female,Greater than 45,0
635,African-American,Male,25 - 45,1
637,Caucasian,Male,Less than 25,1
638,African-American,Male,25 - 45,1
639,Other,Male,25 - 45,0
640,African-American,Male,Less than 25,1
641,Caucasian,Male,25 - 45,1
644,African-American,Male,Greater than 45,1
645,African-American,Male,Less than 25,0
646,Hispanic,Male,Greater than 45,1
647,Caucasian,Male,25 - 45,0
648,African-American,Male,Greater than 45,1
649,Caucasian,Male,25 - 45,0
651,African-American,Male,25 - 45,0
653,Caucasian,Male,Less than 25,1
654,Caucasian,Male,25 - 45,0
656,African-American,Male,25 - 45,0
657,African-American,Female,Less than 25,1
659,Caucasian,Male,Less than 25,1
660,Caucasian,Male,25 - 45,0
662,Caucasian,Female,Less than 25,0
664,Caucasian,Male,25 - 45,0
668,Hispanic,Male,25 - 45,1
669,African-American,Male,Less than 25,1
674,African-American,Male,Less than 25,1
675,Caucasian,Male,Greater than 45,0
678,African-American,Female,Greater than 45,0
679,African-American,Male,25 - 45,0
680,African-American,Male,25 - 45,0
681,Caucasian,Male,Less than 25,0
685,African-American,Female,Greater than 45,1
686,Caucasian,Male,25 - 45,1
687,Other,Male,Less than 25,1
688,African-American,Male,25 - 45,1
691,African-American,Male,25 - 45,1
692,African-American,Male,25 - 45,1
693,Caucasian,Male,Greater than 45,1
694,Caucasian,Male,25 - 45,1
697,African-American,Male,Greater than 45,1
700,African-American,Male,25 - 45,1
701,African-American,Male,25 - 45,0
703,Caucasian,Male,Greater than 45,0
704,African-American,Male,25 - 45,0
707,African-American,Male,Less than 25,0
708,African-American,Male,Greater than 45,1
709,African-American,Male,25 - 45,1
711,African-American,Female,Less than 25,1
712,African-American,Male,Greater than 45,0
713,African-American,Male,Greater than 45,1
715,Caucasian,Male,Less than 25,1
716,African-American,Male,25 - 45,0
718,African-American,Male,Less than 25,1
720,Caucasian,Male,Greater than 45,0
721,Hispanic,Male,Less than 25,0
722,Caucasian,Male,25 - 45,0
724,Caucasian,Male,Greater than 45,0
726,Caucasian,Male,25 - 45,1
727,Caucasian,Male,Greater than 45,0
728,Hispanic,Male,25 - 45,1
729,Caucasian,Male,Greater than 45,1
730,Asian,Male,25 - 45,0
731,Hispanic,Male,Greater than 45,0
732,Hispanic,Male,25 - 45,0
737,Caucasian,Female,Less than 25,1
738,Caucasian,Male,Less than 25,1
740,Asian,Male,Greater than 45,1
743,African-American,Male,25 - 45,0
745,Caucasian,Female,25 - 45,0
752,Caucasian,Male,25 - 45,1
753,African-American,Male,Greater than 45,0
754,African-American,Male,25 - 45,1
756,Caucasian,Female,Greater than 45,0
757,African-American,Male,25 - 45,0
762,Caucasian,Male,25 - 45,1
763,Hispanic,Male,25 - 45,1
764,Hispanic,Male,Greater than 45,0
765,African-American,Male,Greater than 45,1
769,Caucasian,Male,25 - 45,0
770,Caucasian,Male,Greater than 45,0
771,Caucasian,Male,25 - 45,0
775,Caucasian,Male,Greater than 45,0
781,Other,Male,Greater than 45,0
785,African-American,Female,25 - 45,0
786,Caucasian,Female,Greater than 45,0
787,Hispanic,Male,25 - 45,0
788,Other,Male,25 - 45,0
789,African-American,Male,25 - 45,0
790,African-American,Female,25 - 45,0
792,Other,Male,25 - 45,0
793,African-American,Male,Greater than 45,1
794,African-American,Male,25 - 45,1
796,Caucasian,Male,Less than 25,0
798,Caucasian,Male,Greater than 45,1
803,African-American,Male,Greater than 45,0
804,African-American,Male,Less than 25,1
805,Caucasian,Male,25 - 45,1
806,Caucasian,Male,Less than 25,0
807,Caucasian,Male,Less than 25,0
808,Caucasian,Male,25 - 45,0
810,African-American,Male,25 - 45,1
812,African-American,Male,25 - 45,0
813,African-American,Male,25 - 45,1
814,Caucasian,Male,25 - 45,1
815,Caucasian,Male,Less than 25,1
817,Other,Male,25 - 45,0
818,Caucasian,Male,25 - 45,0
820,Hispanic,Male,25 - 45,0
821,African-American,Male,25 - 45,0
823,African-American,Male,25 - 45,1
825,Caucasian,Male,Less than 25,1
830,Hispanic,Male,Less than 25,1
831,Caucasian,Male,Greater than 45,0
835,African-American,Male,25 - 45,1
836,Hispanic,Male,25 - 45,1
837,Caucasian,Male,Greater than 45,1
838,African-American,Male,25 - 45,0
841,Caucasian,Male,Less than 25,0
843,African-American,Male,25 - 45,0
844,African-American,Male,Greater than 45,0
847,African-American,Male,25 - 45,0
848,Other,Female,Greater than 45,0
849,African-American,Male,25 - 45,1
850,African-American,Male,Less than 25,1
851,Caucasian,Male,Greater than 45,0
852,African-American,Male,Less than 25,1
853,African-American,Male,Greater than 45,0
855,African-American,Male,25 - 45,0
856,Caucasian,Male,25 - 45,0
857,African-American,Male,25 - 45,1
858,African-American,Female,25 - 45,0
859,African-American,Male,Less than 25,0
861,Caucasian,Male,25 - 45,1
863,Caucasian,Male,25 - 45,0
864,Hispanic,Male,Less than 25,0
867,African-American,Male,25 - 45,1
869,Caucasian,Male,25 - 45,0
870,African-American,Female,25 - 45,1
871,Caucasian,Male,25 - 45,0
872,African-American,Male,25 - 45,0
874,Hispanic,Male,25 - 45,0
875,African-American,Female,25 - 45,0
880,Hispanic,Male,Greater than 45,0
881,Caucasian,Female,Greater than 45,1
882,Caucasian,Male,Greater than 45,1
884,Caucasian,Male,Greater than 45,1
886,Caucasian,Female,Greater than 45,0
887,African-American,Male,25 - 45,1
888,Caucasian,Female,Less than 25,0
889,Caucasian,Male,Less than 25,0
890,Other,Male,25 - 45,1
893,Hispanic,Male,25 - 45,0
895,Other,Male,25 - 45,0
899,African-American,Male,25 - 45,0
900,Caucasian,Female,Less than 25,0
901,African-American,Male,25 - 45,0
904,Hispanic,Male,Less than 25,1
905,Hispanic,Male,25 - 45,0
906,Caucasian,Female,Less than 25,0
909,African-American,Male,Less than 25,0
913,African-American,Male,25 - 45,1
914,African-American,Male,25 - 45,1
916,African-American,Male,25 - 45,0
917,African-American,Male,Less than 25,1
918,African-American,Female,25 - 45,0
919,Hispanic,Male,25 - 45,1
921,African-American,Male,25 - 45,0
922,Caucasian,Male,25 - 45,1
924,Caucasian,Female,Greater than 45,0
925,Caucasian,Male,25 - 45,0
926,African-American,Male,25 - 45,1
927,Caucasian,Male,25 - 45,0
930,African-American,Male,Less than 25,1
934,African-American,Male,25 - 45,1
935,Caucasian,Male,Greater than 45,0
943,Caucasian,Male,25 - 45,1
944,African-American,Male,25 - 45,0
946,African-American,Male,Greater than 45,1
947,Caucasian,Female,Less than 25,0
948,African-American,Female,Less than 25,0
949,Caucasian,Female,Less than 25,1
951,African-American,Male,25 - 45,0
953,African-American,Male,25 - 45,0
955,African-American,Male,Greater than 45,1
958,Hispanic,Male,25 - 45,0
959,African-American,Male,Less than 25,1
960,Caucasian,Male,25 - 45,1
962,Caucasian,Male,25 - 45,0
963,Caucasian,Male,25 - 45,0
964,Caucasian,Male,Less than 25,1
965,African-American,Male,25 - 45,0
967,African-American,Male,25 - 45,1
968,Caucasian,Female,25 - 45,1
969,Other,Male,Less than 25,0
971,African-American,Female,Greater than 45,1
973,Caucasian,Female,Greater than 45,1
975,African-American,Male,Less than 25,0
977,African-American,Female,Less than 25,0
978,African-American,Male,25 - 45,0
987,African-American,Male,25 - 45,1
988,African-American,Female,25 - 45,0
990,Caucasian,Female,Greater than 45,0
993,Caucasian,Male,25 - 45,1
995,African-American,Male,25 - 45,1
996,African-American,Male,Less than 25,1
998,African-American,Male,25 - 45,1
999,Caucasian,Male,25 - 45,1
1000,African-American,Male,25 - 45,1
1001,African-American,Male,Greater than 45,0
1002,African-American,Male,Less than 25,0
1003,African-American,Male,25 - 45,1
1004,Hispanic,Male,Less than 25,1
1005,African-American,Male,Greater than 45,1
1006,African-American,Male,25 - 45,0
1007,African-American,Female,25 - 45,0
1008,Caucasian,Male,Greater than 45,0
1009,Hispanic,Male,Greater than 45,0
1014,African-American,Male,Less than 25,0
1015,African-American,Male,25 - 45,0
1016,Other,Male,25 - 45,1
1020,Other,Male,Greater than 45,0
1022,African-American,Female,25 - 45,0
1023,Caucasian,Female,Greater than 45,0
1024,African-American,Male,25 - 45,0
1025,African-American,Male,25 - 45,1
1026,African-American,Male,Greater than 45,1
1027,African-American,Male,Less than 25,0
1030,Caucasian,Female,25 - 45,0
1031,Caucasian,Female,25 - 45,1
1032,Hispanic,Male,25 - 45,1
1034,African-American,Male,Less than 25,1
1036,African-American,Male,25 - 45,0
1037,Asian,Male,Less than 25,1
1038,Caucasian,Male,Greater than 45,1
1043,African-American,Male,25 - 45,0
1044,African-American,Male,25 - 45,0
1048,African-American,Male,25 - 45,1
1049,Caucasian,Male,Greater than 45,0
1051,African-American,Male,25 - 45,1
1056,Caucasian,Male,Greater than 45,1
1057,African-American,Male,Greater than 45,1
1058,African-American,Male,25 - 45,0
1059,African-American,Male,Less than 25,0
1060,African-American,Male,25 - 45,0
1061,African-American,Male,Greater than 45,0
1062,African-American,Male,25 - 45,0
1063,African-American,Male,25 - 45,1
1065,African-American,Male,25 - 45,1
1066,Caucasian,Male,25 - 45,0
1068,Caucasian,Female,Greater than 45,1
1069,Caucasian,Male,Greater than 45,0
1072,African-American,Male,25 - 45,0
1073,Hispanic,Male,Less than 25,0
1076,Caucasian,Female,Greater than 45,0
1077,African-American,Male,Less than 25,1
1082,African-American,Male,Greater than 45,1
1084,African-American,Male,Greater than 45,0
1086,African-American,Male,Less than 25,0
1087,Caucasian,Male,25 - 45,1
1088,Caucasian,Male,Greater than 45,0
1089,Caucasian,Male,25 - 45,1
1092,Hispanic,Male,Less than 25,0
1093,Caucasian,Male,Less than 25,0
1094,Caucasian,Male,25 - 45,1
1096,Caucasian,Male,Greater than 45,0
1099,Caucasian,Male,Less than 25,0
1101,Hispanic,Female,25 - 45,0
1103,African-American,Male,Less than 25,0
1106,Caucasian,Male,25 - 45,0
1107,Caucasian,Male,Less than 25,1
1109,African-American,Male,Greater than 45,1
1110,African-American,Female,25 - 45,1
1111,African-American,Male,Greater than 45,0
1119,African-American,Male,Less than 25,1
1120,African-American,Male,Less than 25,0
1121,African-American,Male,25 - 45,0
1122,African-American,Male,Less than 25,0
1123,African-American,Male,Greater than 45,0
1125,African-American,Male,25 - 45,1
1127,African-American,Male,Less than 25,0
1128,Caucasian,Female,Less than 25,0
1129,Other,Male,25 - 45,0
1130,Caucasian,Male,25 - 45,1
1131,African-American,Male,Less than 25,1
1132,Caucasian,Female,Greater than 45,0
1136,African-American,Male,25 - 45,1
1138,African-American,Female,25 - 45,0
1140,African-American,Male,Greater than 45,0
1141,African-American,Male,25 - 45,0
1142,African-American,Female,25 - 45,0
1143,African-American,Male,Less than 25,1
1144,African-American,Female,25 - 45,0
1145,African-American,Male,Less than 25,1
1146,African-American,Male,25 - 45,1
1150,African-American,Female,Greater than 45,1
1151,Other,Male,Less than 25,1
1152,Other,Female,Less than 25,0
1153,Caucasian,Female,Less than 25,1
1156,African-American,Female,Less than 25,0
1157,Native American,Male,25 - 45,0
1159,African-American,Female,Greater than 45,0
1160,African-American,Female,Less than 25,0
1162,African-American,Male,25 - 45,1
1163,African-American,Male,25 - 45,0
1165,Other,Male,Less than 25,0
1166,African-American,Male,25 - 45,1
1169,African-American,Male,25 - 45,0
1170,Other,Male,25 - 45,1
1171,Hispanic,Male,25 - 45,0
1172,African-American,Male,25 - 45,0
1173,African-American,Male,25 - 45,1
1176,Caucasian,Male,25 - 45,0
1177,Caucasian,Male,Greater than 45,0
1179,African-American,Male,25 - 45,0
1181,African-American,Female,25 - 45,0
1186,Caucasian,Male,Less than 25,1
1187,Caucasian,Male,Less than 25,1
1191,Caucasian,Male,Less than 25,1
1192,African-American,Male,Greater than 45,0
1193,Caucasian,Male,Greater than 45,0
1194,Other,Male,25 - 45,0
1195,African-American,Female,25 - 45,0
1196,Caucasian,Male,25 - 45,0
1197,African-American,Male,Less than 25,1
1198,Caucasian,Male,25 - 45,0
1200,African-American,Male,Less than 25,1
1202,African-American,Male,25 - 45,1
1204,Other,Female,Less than 25,0
1205,African-American,Male,Greater than 45,0
1206,Other,Male,25 - 45,0
1209,Caucasian,Male,Less than 25,0
1212,African-American,Female,Less than 25,1
1213,African-American,Female,25 - 45,0
1215,Hispanic,Male,Greater than 45,0
1216,Caucasian,Male,25 - 45,0
1217,African-American,Male,25 - 45,1
1219,African-American,Female,25 - 45,0
1220,African-American,Male,25 - 45,0
1221,Other,Male,25 - 45,0
1222,African-American,Male,25 - 45,1
1225,African-American,Male,Less than 25,1
1229,African-American,Male,25 - 45,0
1230,African-American,Male,Less than 25,0
1233,Caucasian,Male,25 - 45,0
1235,African-American,Male,25 - 45,1
1237,African-American,Male,25 - 45,0
1238,Caucasian,Female,25 - 45,1
1239,African-American,Male,25 - 45,1
1240,African-American,Male,25 - 45,0
1241,Caucasian,Male,25 - 45,1
1242,Other,Female,25 - 45,1
1243,Caucasian,Male,25 - 45,0
1244,Caucasian,Male,Greater than 45,0
1246,African-American,Male,25 - 45,1
1247,African-American,Female,Less than 25,0
1248,Caucasian,Male,25 - 45,0
1250,African-American,Male,25 - 45,1
1252,Other,Male,25 - 45,0
1253,Other,Male,Less than 25,1
1254,African-American,Male,25 - 45,0
1255,African-American,Male,25 - 45,1
1256,African-American,Male,Greater than 45,1
1257,African-American,Male,Less than 25,1
1258,African-American,Male,Greater than 45,1
1259,Caucasian,Male,25 - 45,1
1260,African-American,Male,Greater than 45,1
1261,African-American,Male,25 - 45,0
1262,Caucasian,Male,Greater than 45,0
1268,African-American,Male,25 - 45,1
1269,African-American,Male,25 - 45,0
1272,African-American,Male,25 - 45,1
1274,Other,Male,25 - 45,0
1275,Caucasian,Male,Greater than 45,0
1276,African-American,Male,Less than 25,1
1280,Caucasian,Male,25 - 45,1
1281,Caucasian,Female,25 - 45,1
1282,African-American,Male,Less than 25,0
1283,African-American,Male,Less than 25,1
1286,Caucasian,Male,Less than 25,1
1290,African-American,Male,25 - 45,1
1292,Caucasian,Male,Greater than 45,0
1293,African-American,Male,Less than 25,1
1295,Caucasian,Male,25 - 45,0
1296,Caucasian,Male,Greater than 45,0
1298,African-American,Male,Less than 25,0
1300,Caucasian,Female,Less than 25,0
1303,African-American,Male,Less than 25,1
1305,African-American,Male,25 - 45,0
1306,African-American,Male,25 - 45,1
1310,Caucasian,Female,Less than 25,0
1313,African-American,Male,25 - 45,1
1314,African-American,Male,25 - 45,1
1315,African-American,Male,Less than 25,0
1318,African-American,Male,25 - 45,1
1320,Other,Male,Greater than 45,0
1323,African-American,Female,25 - 45,0
1324,Caucasian,Male,25 - 45,0
1325,African-American,Female,Greater than 45,0
1326,African-American,Male,Less than 25,0
1328,African-American,Female,25 - 45,0
1329,Caucasian,Male,Less than 25,1
1330,Caucasian,Male,25 - 45,0
1331,African-American,Male,Less than 25,1
1332,Other,Male,25 - 45,1
1334,African-American,Male,25 - 45,0
1336,Caucasian,Male,Greater than 45,0
1342,African-American,Male,25 - 45,0
1343,Hispanic,Male,Less than 25,1
1344,African-American,Male,Greater than 45,0
1345,Caucasian,Male,Less than 25,1
1346,African-American,Male,25 - 45,0
1347,Caucasian,Female,25 - 45,1
1348,African-American,Female,25 - 45,0
1349,Hispanic,Male,25 - 45,0
1351,African-American,Male,25 - 45,1
1352,Caucasian,Male,25 - 45,1
1353,Caucasian,Male,Greater than 45,1
1354,Hispanic,Male,25 - 45,0
